Layer,Silhouette_Score
X_layer_0,0.049046151477205625
X_layer_1,0.07076962222151062
X_layer_10,0.1209093684513203
X_layer_11,0.11492732935010154
X_layer_12,0.1212557370372307
X_layer_13,0.10347757317829369
X_layer_14,0.11809064929084327
X_layer_15,0.1450746134833767
X_layer_16,0.17539388894162475
X_layer_17,0.19670244074418383
X_layer_18,0.2088009822117157
X_layer_19,0.20039456424111396
X_layer_2,0.08087286712697163
X_layer_20,0.19911869706223403
X_layer_21,0.19947390558534528
X_layer_22,0.19317172439237285
X_layer_23,0.1903223458156404
X_layer_3,0.08332482033090854
X_layer_4,0.09954594667936974
X_layer_5,0.10475061143760049
X_layer_6,0.11499877749122664
X_layer_7,0.11933532707155245
X_layer_8,0.11931892521068575
X_layer_9,0.11651993034935235
