Layer,Silhouette_Score
X_layer_0,0.1469422052708002
X_layer_1,0.16682367290636935
X_layer_10,0.2772457434406473
X_layer_11,0.26866927771123594
X_layer_12,0.2503099656715542
X_layer_13,0.23468809548569908
X_layer_14,0.21610405342517547
X_layer_15,0.21213202232896938
X_layer_16,0.22398864693013334
X_layer_17,0.24609779216460384
X_layer_18,0.24175605537611392
X_layer_19,0.25483696938441974
X_layer_2,0.20439166012501508
X_layer_20,0.24969042064392455
X_layer_21,0.24189325456953994
X_layer_22,0.23849864957263117
X_layer_23,0.24479754835284312
X_layer_3,0.21042152557578797
X_layer_4,0.23528262655581725
X_layer_5,0.2597733655465958
X_layer_6,0.2714303595014063
X_layer_7,0.2706738669949567
X_layer_8,0.27368504920042713
X_layer_9,0.2563884405537682
