Layer,Silhouette_Score
X_layer_0,0.09393710917930762
X_layer_1,0.13581934391854417
X_layer_10,0.21661008069842136
X_layer_11,0.21595349746024814
X_layer_12,0.22257908886729375
X_layer_13,0.20816832316649775
X_layer_14,0.21144057855681767
X_layer_15,0.21383061996957148
X_layer_16,0.24882693194107386
X_layer_17,0.26720222893248646
X_layer_18,0.2484897061294576
X_layer_19,0.24046473439824084
X_layer_2,0.1735553952742029
X_layer_20,0.20712681263315158
X_layer_21,0.1945364414673823
X_layer_22,0.17772323105705365
X_layer_23,0.1813375727833477
X_layer_3,0.1664115209669685
X_layer_4,0.18368748826520223
X_layer_5,0.20706162885981108
X_layer_6,0.2149709070194952
X_layer_7,0.21084224321294923
X_layer_8,0.21289004423627025
X_layer_9,0.18750705014105698
