,ATF7IP2,ATP10D,ATP6V1E2,BACH2,BBS10,BEND3,BRD7,BTLA,C10orf105,C11orf1,CA1,CCPG1,CD8A,CDK10,CLIC5,CREBZF,CYB5R1,DMRT1,DYRK4,EFHD1,EHF,EHMT1,EML5,FAM208A,FAM229B,GALT,GLI3,HES5,HIST1H4I,HLA-DQA2,HSPA4,HSPH1,IL17F,KDELR2,KLF13,KLHL29,KLRG1,KRTCAP2,LBHD1,LCMT2,LRP6,LRRC37A3,LYST,MAP3K9,MAPK8,MEFV,METAP1,MGA,MICA,MOSMO,MT3,NDST1,NNAT,OPTN,ORM2,P3H3,PEX10,PIP,POMK,POU2F3,RAB30,RAMP1,RASD2,RBMS1,RCBTB1,RPS6KA1,S100P,SAMHD1,SFMBT2,SFN,SFXN4,SH3KBP1,SIT1,SLC25A33,SLC25A53,SLC38A7,SPATA2,SUMF1,THYN1,TMEM229B,TMEM25,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,TTC39B,TWIST1,VAMP2,ZDHHC5,ZFP14,ZGLP1,ZNF10,ZNF235,ZNF285,ZNF473,ZNF534,ZNF583,ZNF687,ZNF880
CA1,0.9531393,0.95097816,0.9597838,0.9529304,0.9594076,0.95150506,0.95026195,0.95091105,0.95239055,0.95288116,0.9999899,0.9501135,0.951344,0.95939076,0.96351737,0.95721906,0.95030326,0.9512034,0.95339584,0.95251215,0.950424,0.9499805,0.95153433,0.95329297,0.95217055,0.9510017,0.95033824,0.95288277,0.950701,0.95327836,0.95152944,0.9435748,0.95071834,0.9518163,0.9502059,0.9455197,0.9584119,0.9485253,0.94913095,0.9497073,0.9528413,0.94920504,0.950521,0.9505131,0.9570262,0.95245016,0.95481557,0.9489969,0.94575197,0.950983,0.9513716,0.9498882,0.96157336,0.9505727,0.95270085,0.9501579,0.95703536,0.95509934,0.95184934,0.9515014,0.953266,0.95152044,0.9526504,0.95173734,0.9496278,0.96411115,0.9501727,0.9432578,0.9555417,0.9554943,0.9596101,0.9533386,0.9514232,0.9566486,0.94925094,0.9545182,0.94967943,0.9514991,0.95168656,0.9512145,0.95106554,0.9488887,0.9513496,0.95429444,0.95327425,0.95201004,0.9501969,0.9518534,0.9530751,0.9504275,0.9521643,0.9529234,0.9530742,0.9569395,0.9493971,0.9525482,0.9515352,0.9539875,0.9557173,0.95042163
CCPG1,0.9508571,0.9537172,0.95054966,0.9507653,0.95072675,0.94977903,0.95149606,0.95281804,0.9507748,0.9552495,0.9501135,0.9999956,0.9504492,0.95083606,0.94968,0.9538685,0.952749,0.9519571,0.95219105,0.95293194,0.9528706,0.9526267,0.9542779,0.95249045,0.95257086,0.9540935,0.95519245,0.9544128,0.9541557,0.95382035,0.954883,0.951543,0.95356005,0.95402086,0.9505737,0.9508574,0.95089537,0.953111,0.9520448,0.9496416,0.9521767,0.9545582,0.95259756,0.9547768,0.9480438,0.9544483,0.9502022,0.9525475,0.9503016,0.9533682,0.9534297,0.9542246,0.94968647,0.9504979,0.9549739,0.95249265,0.94982827,0.9557841,0.95283717,0.95242304,0.9556333,0.9550288,0.9524872,0.9538977,0.95525074,0.9497957,0.95553935,0.9547215,0.95317286,0.952669,0.9506956,0.9508474,0.9559018,0.9524252,0.9518349,0.9542815,0.95482934,0.9542521,0.95384943,0.9494167,0.9549818,0.95218325,0.94926953,0.95080227,0.9524478,0.95359457,0.9520471,0.9559494,0.95507544,0.9544296,0.95579827,0.95341563,0.95376205,0.9516677,0.95590436,0.9538791,0.951431,0.95377326,0.95032394,0.95650786
CD8A,0.9501243,0.9504113,0.95220125,0.9583007,0.9560373,0.9539319,0.9512459,0.94818336,0.95412767,0.9500475,0.951344,0.9504492,1.0000098,0.95435417,0.95632565,0.9524056,0.9493542,0.95679796,0.9589713,0.9493849,0.95038885,0.9536105,0.9467793,0.95359606,0.9494971,0.9543072,0.95042235,0.94880855,0.9512009,0.9498411,0.94865686,0.9551547,0.94666946,0.94865584,0.9508189,0.94959223,0.95129395,0.9556112,0.9504405,0.95803636,0.9514668,0.9500685,0.9497029,0.9496822,0.95207024,0.9494872,0.95646596,0.95597863,0.95495164,0.95389146,0.9500046,0.95055354,0.95521015,0.95557547,0.9492165,0.9537188,0.95681006,0.94922656,0.949179,0.95048344,0.9489292,0.9521785,0.9557854,0.9509592,0.95079434,0.9553463,0.9526756,0.9461724,0.95580417,0.95490116,0.9550582,0.9547945,0.9482185,0.95369333,0.95127165,0.94984525,0.950747,0.94910324,0.9549841,0.9586495,0.9497117,0.94198143,0.95335865,0.9529738,0.9519639,0.95745206,0.95348084,0.94901854,0.9501351,0.94942594,0.9499804,0.94616824,0.9482654,0.94969106,0.950647,0.95167005,0.9503242,0.95305043,0.95693403,0.95145327
CDK10,0.9534225,0.951642,0.9615484,0.95420825,0.9603228,0.95199925,0.94921446,0.95057786,0.9522973,0.9528274,0.95939076,0.95083606,0.95435417,1.0000125,0.95818305,0.9578462,0.9513962,0.95642823,0.9570749,0.95479554,0.950969,0.9532631,0.95151466,0.9559495,0.95360154,0.95149076,0.95029,0.95393157,0.9517304,0.95605356,0.9510275,0.9477069,0.9506469,0.9532487,0.948982,0.94411945,0.9596668,0.9509465,0.9470413,0.9512443,0.95112586,0.9500957,0.95157117,0.9505225,0.9557641,0.9541637,0.95818436,0.9521002,0.9476687,0.95246494,0.9515164,0.9501592,0.9629703,0.95277846,0.9524248,0.9498776,0.95420676,0.9547043,0.9512496,0.9528285,0.95337373,0.95235,0.953626,0.95304036,0.9507516,0.96366537,0.952761,0.9457566,0.9583923,0.9583332,0.95757556,0.95525014,0.9510305,0.96094364,0.9502279,0.954782,0.95112365,0.9510202,0.9547155,0.9529452,0.95034957,0.94523066,0.9514066,0.95324284,0.9541099,0.9545664,0.9534292,0.95169497,0.952109,0.9495538,0.9532831,0.9512362,0.9536202,0.95693135,0.9509097,0.95362383,0.9514255,0.9561105,0.95543456,0.9514146
CLIC5,0.94911736,0.9487092,0.9534284,0.95647395,0.95994085,0.95041656,0.9517623,0.9489515,0.94996464,0.9496186,0.96351737,0.94968,0.95632565,0.95818305,0.99999344,0.9537958,0.9498935,0.95230466,0.9553437,0.94929963,0.9491087,0.9507831,0.94944715,0.9512852,0.94970155,0.9507951,0.9485853,0.9493549,0.94984967,0.94959354,0.94970113,0.9438646,0.94860244,0.94883156,0.9488977,0.94495213,0.95496255,0.9509204,0.9498559,0.9525031,0.9506196,0.9492373,0.95009506,0.94832647,0.9579524,0.94926596,0.95346355,0.95106304,0.9492528,0.95130897,0.9494796,0.9506565,0.9594155,0.9520178,0.949622,0.9502701,0.96099985,0.950873,0.94823515,0.9485506,0.9495887,0.94961584,0.9530556,0.94914454,0.9497893,0.9651567,0.94941086,0.94110125,0.9551614,0.9533875,0.9615383,0.951288,0.94918215,0.9545918,0.94912493,0.94926965,0.9476967,0.9498367,0.95121753,0.9499984,0.94976306,0.9435487,0.9544713,0.9544896,0.950101,0.9520384,0.9498861,0.9498745,0.9500625,0.9492685,0.94872,0.94920725,0.94952977,0.9525978,0.9479127,0.9517626,0.95023143,0.95150423,0.9567615,0.94978845
CREBZF,0.95338094,0.9531054,0.9571359,0.95326525,0.95569944,0.95069665,0.9483247,0.9508297,0.9531636,0.9568268,0.95721906,0.9538685,0.9524056,0.9578462,0.9537958,1.000009,0.9521066,0.9543594,0.95489305,0.9526185,0.95147604,0.95331115,0.95188504,0.9543201,0.9515382,0.9530151,0.9497909,0.956223,0.95331556,0.9562598,0.95128983,0.94724613,0.94983464,0.9549751,0.9488163,0.9444304,0.95860803,0.95079213,0.9471556,0.95183116,0.9550619,0.95148677,0.95289695,0.9517001,0.9535902,0.9542292,0.95560306,0.9506317,0.94396293,0.95058435,0.9533308,0.95053166,0.95831054,0.95053005,0.9530086,0.950294,0.9512821,0.9543783,0.9532866,0.95097154,0.95613563,0.95351887,0.955568,0.95302427,0.95090795,0.9590939,0.9539566,0.94809103,0.9569254,0.95664763,0.9555381,0.95526004,0.95178145,0.95988137,0.9498333,0.9576303,0.9500514,0.95346147,0.9545788,0.9528258,0.9522797,0.94959956,0.9496212,0.95344996,0.9556246,0.9536481,0.95335877,0.95359063,0.9540397,0.952219,0.95190996,0.95347065,0.9554508,0.9569578,0.9512066,0.95632553,0.9522917,0.9569741,0.9549602,0.95186114
CYB5R1,0.9522472,0.95403403,0.9516492,0.95183647,0.9512574,0.9531905,0.9525879,0.95658493,0.95197374,0.95320153,0.95030326,0.952749,0.9493542,0.9513962,0.9498935,0.9521066,0.9999949,0.95128477,0.95089906,0.9522772,0.95210624,0.9516685,0.95604056,0.9507578,0.952367,0.9514916,0.9541756,0.95497775,0.951408,0.9529084,0.954114,0.9519773,0.95417815,0.95453084,0.952765,0.9524466,0.9513716,0.9542258,0.9546308,0.95167583,0.9520987,0.95275325,0.95354784,0.952961,0.95174354,0.9554386,0.95074236,0.9516128,0.9530034,0.9537735,0.9531314,0.95221204,0.9504576,0.95171154,0.9538038,0.9537558,0.9499124,0.95332515,0.95370466,0.95709777,0.9541087,0.95405567,0.9521982,0.95156306,0.9536496,0.95032054,0.9520815,0.952369,0.9514852,0.9520473,0.95093685,0.9517027,0.9540435,0.951276,0.95125264,0.95315707,0.9530855,0.952421,0.9511938,0.95067805,0.9531585,0.95285195,0.95438945,0.9534708,0.9522481,0.9506837,0.95343417,0.9551866,0.95289326,0.952721,0.95531774,0.9528746,0.9539014,0.95204836,0.9539786,0.951784,0.9522904,0.95054966,0.9509095,0.95472354
DMRT1,0.9505082,0.9509355,0.9548685,0.95359737,0.95491976,0.9493757,0.95031965,0.9480029,0.95223755,0.95153224,0.9512034,0.9519571,0.95679796,0.95642823,0.95230466,0.9543594,0.95128477,1.0000114,0.9589692,0.95379627,0.9501538,0.95599204,0.94808775,0.95869046,0.95072126,0.9550668,0.95066756,0.94859695,0.9523618,0.95373744,0.94947755,0.95208794,0.9467133,0.95019466,0.9465797,0.94755983,0.95278025,0.95379,0.9479296,0.9538494,0.9511659,0.9512071,0.95048094,0.950358,0.9509463,0.95043766,0.9560247,0.95462084,0.9522688,0.9533377,0.95047694,0.9505415,0.95542794,0.9506652,0.9493503,0.95178616,0.9539436,0.9499379,0.9497264,0.95087063,0.95262384,0.9518888,0.9534241,0.9541955,0.94958097,0.955644,0.956216,0.949508,0.9548605,0.957591,0.9537586,0.9520208,0.94957894,0.95424306,0.95191777,0.95241344,0.95187163,0.94898105,0.9546554,0.9545505,0.95135033,0.94635326,0.9515396,0.9506099,0.95124936,0.95894223,0.9536779,0.9511818,0.94978094,0.9495965,0.95143825,0.94853413,0.9487901,0.95340633,0.952122,0.95297503,0.9470568,0.95586944,0.95240647,0.95276356
DYRK4,0.9494125,0.9522418,0.9568015,0.95847875,0.9549233,0.95200884,0.9512629,0.9484845,0.9573945,0.949789,0.95339584,0.95219105,0.9589713,0.9570749,0.9553437,0.95489305,0.95089906,0.9589692,0.99999845,0.952066,0.9509743,0.95563,0.9483954,0.95270836,0.9493048,0.9505973,0.94953716,0.9525797,0.95286536,0.9515634,0.9502183,0.954763,0.9496585,0.94966173,0.9488498,0.947176,0.9538213,0.95377207,0.94782645,0.9547536,0.9536937,0.95111656,0.95176035,0.9479934,0.9503159,0.9493613,0.9563823,0.95443034,0.9519468,0.95265216,0.9503157,0.9505638,0.9555726,0.9559457,0.9517311,0.9537524,0.95462626,0.9535473,0.9488158,0.9516149,0.95422626,0.95169234,0.95473206,0.9535433,0.9513793,0.95649314,0.9539572,0.9482652,0.960797,0.95814663,0.95847654,0.95455176,0.9509173,0.95812047,0.9502545,0.95184135,0.9510911,0.9503652,0.9581362,0.9573146,0.9517887,0.946303,0.9528254,0.9514911,0.95238715,0.96040004,0.95539206,0.95291036,0.95365846,0.95090055,0.9510104,0.9510536,0.9509766,0.95365113,0.9527105,0.95398396,0.95368016,0.9565656,0.9583419,0.9535389
EFHD1,0.9554397,0.9553883,0.9563564,0.94856906,0.9512829,0.9528266,0.9506123,0.95190597,0.95562893,0.95352334,0.95251215,0.95293194,0.9493849,0.95479554,0.94929963,0.9526185,0.9522772,0.95379627,0.952066,1.0000086,0.95710516,0.95499736,0.9559617,0.9552739,0.95745164,0.95081633,0.9533682,0.9578989,0.9530123,0.9565084,0.9530627,0.9513656,0.952613,0.95642686,0.9526026,0.9506156,0.958545,0.95312107,0.9499715,0.95105916,0.9535348,0.9511456,0.9529762,0.9545169,0.9510444,0.9570259,0.95237696,0.95374584,0.94739014,0.9489074,0.9514448,0.95159775,0.95369685,0.9501822,0.95317984,0.9521125,0.9498349,0.95278585,0.9546469,0.95561475,0.9562373,0.9562564,0.95318794,0.9585699,0.951335,0.9531111,0.9522942,0.95159614,0.95268834,0.9526539,0.95199955,0.9585763,0.95390725,0.9545381,0.9477659,0.9589389,0.9552012,0.951275,0.9540963,0.95210534,0.9553242,0.9510217,0.94866824,0.95462644,0.95568365,0.94974595,0.9580917,0.95438355,0.9552387,0.95173144,0.95152175,0.95476,0.95734197,0.95512366,0.9535978,0.94963795,0.9530872,0.9561654,0.95257735,0.95520014
