layer,correlation,p_value
0,0.4466922533740194,1.8823243359287643e-241
1,0.4648468985281405,6.482682919174298e-264
2,0.49524709874728484,1.0387378077684546e-304
3,0.5020044915579147,0.0
4,0.5064203094386375,0.0
5,0.511501044927368,0.0
6,0.5150894365582563,0.0
7,0.5185941607013045,0.0
8,0.5219382518910125,0.0
9,0.5214191667155179,0.0
10,0.5277859503956287,0.0
11,0.525891495320036,0.0
12,0.5236312237339252,0.0
13,0.5213147871508143,0.0
14,0.517533216732875,0.0
15,0.5180521331541407,0.0
16,0.5225598851275908,0.0
17,0.524502154070676,0.0
18,0.5272113596055483,0.0
19,0.5258413589160756,0.0
20,0.5245414863432173,0.0
21,0.5296338228887536,0.0
22,0.5356072919444267,0.0
23,0.5353960753738017,0.0
