layer,correlation,p_value
0,0.4149246469832564,2.707247164417242e-205
1,0.4417458066988416,1.4526432195370615e-235
2,0.47800806950758024,4.5248375655638e-281
3,0.47576317482700603,4.3186575629165496e-278
4,0.48639801277094336,2.0900197035440735e-292
5,0.49805079838356775,1.1017689322890803e-308
6,0.4964968411385897,1.776237131685996e-306
7,0.48982714395703636,3.9380003007915604e-297
8,0.4890452927014121,4.7567333492938385e-296
9,0.48798832941525966,1.366509140170262e-294
10,0.4815081903084388,9.22800072731636e-286
11,0.47750278957685194,2.1292442225187672e-280
