,ATF7IP2,ATP10D,ATP6V1E2,BACH2,BBS10,BEND3,BRD7,BTLA,C10orf105,C11orf1,CA1,CCPG1,CD8A,CDK10,CLIC5,CREBZF,CYB5R1,DMRT1,DYRK4,EFHD1,EHF,EHMT1,EML5,FAM208A,FAM229B,GALT,GLI3,HES5,HIST1H4I,HLA-DQA2,HSPA4,HSPH1,IL17F,KDELR2,KLF13,KLHL29,KLRG1,KRTCAP2,LBHD1,LCMT2,LRP6,LRRC37A3,LYST,MAP3K9,MAPK8,MEFV,METAP1,MGA,MICA,MOSMO,MT3,NDST1,NNAT,OPTN,ORM2,P3H3,PEX10,PIP,POMK,POU2F3,RAB30,RAMP1,RASD2,RBMS1,RCBTB1,RPS6KA1,S100P,SAMHD1,SFMBT2,SFN,SFXN4,SH3KBP1,SIT1,SLC25A33,SLC25A53,SLC38A7,SPATA2,SUMF1,THYN1,TMEM229B,TMEM25,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,TTC39B,TWIST1,VAMP2,ZDHHC5,ZFP14,ZGLP1,ZNF10,ZNF235,ZNF285,ZNF473,ZNF534,ZNF583,ZNF687,ZNF880
EHF,0.9529765,0.95530355,0.9515277,0.9486117,0.9512902,0.9548801,0.9536778,0.9528402,0.95495564,0.9525175,0.9504312,0.95287555,0.9503777,0.950957,0.9491088,0.95147043,0.9521077,0.95014215,0.95097464,0.9570988,0.9999881,0.954298,0.9526224,0.9530918,0.95223224,0.95070064,0.95638204,0.95467746,0.951697,0.9518098,0.95169586,0.9534281,0.9533317,0.955334,0.9546348,0.9557107,0.95517564,0.954588,0.9514848,0.9538621,0.95480597,0.9522294,0.9535941,0.95476985,0.94826937,0.9547347,0.949883,0.95261264,0.9533516,0.94961756,0.952151,0.95222867,0.9520585,0.94744337,0.95378673,0.9551646,0.9512831,0.9502705,0.95361763,0.95534164,0.9526147,0.95391476,0.9518919,0.95458287,0.9546307,0.9501355,0.95325685,0.95435166,0.94909835,0.95015836,0.95049655,0.9544426,0.9538115,0.95052725,0.95253277,0.95438766,0.9578954,0.9525507,0.95197725,0.9529347,0.95346737,0.95190424,0.9522345,0.9532991,0.9583679,0.94657564,0.9510143,0.952816,0.9515038,0.9528534,0.95106936,0.9537797,0.9529408,0.94768286,0.9529173,0.94807184,0.9551304,0.950744,0.9517343,0.9556269
EHMT1,0.9507153,0.9527902,0.9523697,0.9534082,0.95390505,0.9523373,0.9533697,0.9486322,0.95164293,0.9522449,0.9499948,0.9526386,0.95360637,0.9532584,0.95079017,0.95331264,0.9516772,0.9559879,0.95563745,0.95499414,0.954298,1.0000057,0.94913656,0.9537953,0.9500227,0.9547334,0.9503041,0.95093817,0.95173275,0.95067495,0.95032644,0.95402443,0.94961995,0.9506725,0.94945693,0.94977367,0.9543384,0.9534909,0.95067966,0.95499814,0.9525723,0.9526603,0.95126843,0.9533987,0.9502634,0.9527386,0.954616,0.9557023,0.95468307,0.9520733,0.9513517,0.9513449,0.9545227,0.9500832,0.9506041,0.95280224,0.9509033,0.950531,0.9508773,0.9525295,0.95126396,0.9543364,0.9507611,0.9551715,0.9521334,0.9543124,0.95447075,0.9509627,0.9538183,0.9546651,0.95118874,0.9533481,0.9501436,0.95481133,0.95385677,0.9521616,0.95340997,0.9509918,0.9538298,0.95358586,0.9495102,0.94722223,0.95169246,0.9530413,0.9539624,0.954342,0.95303136,0.95269275,0.9506949,0.95010024,0.9512072,0.9498995,0.9483571,0.9496387,0.95255166,0.9521301,0.9495575,0.9569661,0.9536305,0.95338243
EML5,0.95290923,0.95362407,0.9516626,0.9493452,0.95150185,0.95268273,0.95174575,0.95787853,0.9504748,0.9532549,0.9515473,0.9542887,0.94677466,0.95150864,0.9494535,0.9518858,0.9559545,0.9480822,0.9484018,0.9559597,0.9526224,0.94913656,1.000004,0.94976,0.9560074,0.95094055,0.9563714,0.9573337,0.95311195,0.95468664,0.95505756,0.95072466,0.9570836,0.9563485,0.9565479,0.9521463,0.95242256,0.9517834,0.9531292,0.9491261,0.95268613,0.95331025,0.95392966,0.9538554,0.9506548,0.95799136,0.9495733,0.9482925,0.94982433,0.9546704,0.9556664,0.9528095,0.9490998,0.9506615,0.95519376,0.95176744,0.9488046,0.9563511,0.9533758,0.9555067,0.9563801,0.9527041,0.95089895,0.95211583,0.9539657,0.9496937,0.9517118,0.9526269,0.9521828,0.94938195,0.9496161,0.9498123,0.9578384,0.9515785,0.95161164,0.9544375,0.9550539,0.95412076,0.95227855,0.94924843,0.95606256,0.9549356,0.95277274,0.9509083,0.954052,0.95003986,0.9534718,0.95463204,0.9545103,0.9536121,0.9551327,0.9580054,0.9562113,0.9542401,0.9544877,0.9499311,0.95499337,0.95036036,0.9496659,0.95336336
FAM208A,0.9561769,0.95283735,0.95676714,0.95409554,0.95486045,0.9522806,0.9492336,0.9518292,0.95122236,0.9579421,0.95330834,0.95250326,0.9535928,0.9559458,0.9512934,0.9542106,0.95065343,0.9586827,0.9527166,0.9553757,0.9530918,0.9537953,0.94976,0.99999225,0.95495856,0.95610714,0.9527849,0.9511918,0.95032907,0.9540218,0.94979763,0.9515641,0.9480047,0.9541261,0.94780093,0.94771934,0.9534819,0.951195,0.9497742,0.94819325,0.9513513,0.9503107,0.95092857,0.9539596,0.9518005,0.9528135,0.9556539,0.9541725,0.9493135,0.95446354,0.95095044,0.95006084,0.95725524,0.94780713,0.95154065,0.94931424,0.95417017,0.9523602,0.9568611,0.95479834,0.9522364,0.95198864,0.95166814,0.95313406,0.9512218,0.95412517,0.9555888,0.9516419,0.95171463,0.9573565,0.9529277,0.9539436,0.9512681,0.95352846,0.95359254,0.95593566,0.95256376,0.9527758,0.95228076,0.95264786,0.9514532,0.9488507,0.9504351,0.9522556,0.9546493,0.9540926,0.9515628,0.9519346,0.95161843,0.94919753,0.9535847,0.94788885,0.95005804,0.9537975,0.9519859,0.9547483,0.94832087,0.95136756,0.9488538,0.95469487
FAM229B,0.9551635,0.9548217,0.9546761,0.9502475,0.95281714,0.95704216,0.94878757,0.9555492,0.95329,0.95460033,0.9521795,0.9525778,0.9494876,0.95359117,0.9497031,0.9515346,0.95237035,0.9507113,0.94930756,0.95744216,0.95223224,0.9500227,0.9560074,0.95495856,0.99999523,0.9509428,0.9543231,0.95499647,0.9516387,0.9538987,0.9516821,0.95196396,0.95233846,0.9539036,0.9572804,0.9499012,0.9531782,0.9510964,0.95120263,0.946774,0.95430905,0.94893956,0.95140845,0.9540164,0.951662,0.95523345,0.9521693,0.9503514,0.94928384,0.95471066,0.9517689,0.9501637,0.9508141,0.9511782,0.9528434,0.9486997,0.9498038,0.95574975,0.9557355,0.95507723,0.95247215,0.9507737,0.9516783,0.9511518,0.95231116,0.9509047,0.9497446,0.95345324,0.9510379,0.951299,0.94964355,0.95522237,0.95494354,0.95253336,0.9487456,0.95438766,0.9521573,0.9538953,0.9527434,0.9505811,0.953345,0.95293313,0.9537566,0.95043737,0.9542279,0.94936717,0.95238525,0.9543282,0.9534931,0.94903255,0.95387167,0.95288235,0.9529449,0.95435476,0.9535041,0.95411485,0.9528025,0.95049244,0.9488303,0.95270544
GALT,0.951245,0.95406556,0.95029515,0.95332426,0.950781,0.9529974,0.9534819,0.94912314,0.94971025,0.9549813,0.9510256,0.95410603,0.9543116,0.95149505,0.95081294,0.9529143,0.95139825,0.9549605,0.9506111,0.9509254,0.95070064,0.9547334,0.95094055,0.95610714,0.9509428,0.9999865,0.9509767,0.9511229,0.95200527,0.9514746,0.95067567,0.95239997,0.9517112,0.95446813,0.9504178,0.9524356,0.9503091,0.9546961,0.9536911,0.95300156,0.9512541,0.95304036,0.9498089,0.952629,0.94917387,0.952879,0.9506229,0.95405716,0.9539358,0.9549047,0.9535506,0.95024717,0.94977915,0.9524982,0.95064706,0.9529127,0.9516397,0.9524113,0.9546623,0.95406365,0.95345324,0.9570524,0.95291173,0.9528363,0.95036733,0.94919336,0.9569852,0.9512796,0.9516186,0.952709,0.94955975,0.9509632,0.9510695,0.9505558,0.9567328,0.9539098,0.9540845,0.9540706,0.953623,0.95023656,0.9525431,0.9508123,0.94995695,0.9518933,0.9517712,0.9549437,0.95456743,0.95278347,0.95202494,0.9508548,0.954712,0.9519574,0.9517041,0.9514659,0.95455796,0.9562704,0.94854206,0.9550003,0.9500922,0.95585424
GLI3,0.9530722,0.95597714,0.9499566,0.95051265,0.9514755,0.95402825,0.95373666,0.9547155,0.9543111,0.95286053,0.95037264,0.95512086,0.9504381,0.95030487,0.94861287,0.9496967,0.95399517,0.9505688,0.94956183,0.9534843,0.95638204,0.9503041,0.9563714,0.9527849,0.9543231,0.9509767,1.0000132,0.95289606,0.9537045,0.95191336,0.9544118,0.95514643,0.9522983,0.9552548,0.9554912,0.95516753,0.9498862,0.95396936,0.952844,0.9519919,0.9531276,0.9552708,0.95280486,0.9555356,0.9488827,0.95353734,0.9493234,0.9518948,0.954539,0.95343727,0.9528899,0.95430535,0.9490497,0.952042,0.9555812,0.9547783,0.9507631,0.95157856,0.95511776,0.95375127,0.95231265,0.9532457,0.9522474,0.95289916,0.9558348,0.94831735,0.95329195,0.95264065,0.9491832,0.9496155,0.9499173,0.9533119,0.95595604,0.94832414,0.9529655,0.9532929,0.95685345,0.9529967,0.952526,0.9526104,0.9564828,0.95245266,0.95273596,0.9515086,0.952705,0.9487296,0.9513983,0.9527991,0.95416856,0.9545933,0.9512819,0.9542228,0.9531259,0.94922364,0.9532476,0.951238,0.9531317,0.9481249,0.9504481,0.9565865
HES5,0.9514581,0.95695066,0.95582163,0.95087296,0.95113057,0.95340776,0.9498697,0.9548161,0.9541156,0.9554943,0.9528962,0.95442414,0.94880384,0.9539263,0.9493615,0.95622396,0.9549859,0.9485921,0.9525864,0.95789605,0.95467746,0.95093817,0.9573337,0.9511918,0.95499647,0.9511229,0.95289606,0.9999977,0.9534463,0.95573556,0.9545265,0.94969827,0.95468545,0.9569107,0.9525287,0.9506724,0.9572857,0.9512855,0.9514713,0.95186436,0.9561128,0.951565,0.95432687,0.9528878,0.9502844,0.95856214,0.9516915,0.9503981,0.9478447,0.9515687,0.95525026,0.95273614,0.952458,0.9508135,0.95458084,0.95360804,0.94840014,0.95732063,0.9554922,0.9563886,0.9589609,0.95352966,0.953907,0.9538556,0.9554403,0.95160383,0.9515859,0.95167655,0.95457804,0.9512759,0.9520567,0.95646846,0.95638394,0.9542718,0.9491953,0.9578017,0.95219433,0.9522626,0.9528316,0.9529925,0.95458174,0.95339435,0.95206344,0.95483965,0.9563517,0.95118713,0.9551026,0.9561794,0.95741844,0.95313966,0.9560989,0.95689446,0.9615755,0.95653754,0.9544836,0.95366955,0.9575289,0.9541605,0.9533186,0.9531439
HIST1H4I,0.9503093,0.952655,0.95288646,0.9513331,0.94967175,0.95206624,0.9518415,0.95208675,0.951836,0.9533936,0.95071495,0.954262,0.9511969,0.9517255,0.9498565,0.9532044,0.951303,0.9522441,0.9528731,0.9531129,0.951697,0.95173275,0.95311195,0.95032907,0.9516387,0.95200527,0.9537045,0.9534463,0.99999595,0.95203745,0.9540493,0.95105654,0.95105594,0.9532729,0.950305,0.95100296,0.94982636,0.9536285,0.95275646,0.9534756,0.9504338,0.9538288,0.95276153,0.9545883,0.9499705,0.9521736,0.950222,0.9526558,0.9516227,0.9508021,0.95207196,0.954965,0.95078427,0.9522805,0.9552999,0.9534805,0.95060235,0.9507396,0.9527128,0.950753,0.9551911,0.9537269,0.95400554,0.9530971,0.95372576,0.95068824,0.95308554,0.9514527,0.9540229,0.95176893,0.95107824,0.9537101,0.9540732,0.95188624,0.9507134,0.9529779,0.95153254,0.95186335,0.95295966,0.95338345,0.95292825,0.95130026,0.9491723,0.952864,0.95027757,0.95323616,0.95398813,0.95494163,0.95396733,0.955341,0.95308304,0.9510777,0.9535467,0.9542831,0.9540435,0.95410454,0.9529905,0.95270014,0.9526145,0.9515154
HLA-DQA2,0.9539569,0.9542989,0.95514226,0.94882125,0.95151955,0.9490128,0.9486273,0.9525155,0.9517635,0.9561744,0.9532941,0.95383346,0.9498381,0.9560505,0.949602,0.95614946,0.9528974,0.9537284,0.9515721,0.95661,0.9518098,0.95067495,0.95468664,0.9540218,0.9538987,0.9514746,0.95191336,0.95573556,0.95203745,1.0000128,0.9542669,0.94806206,0.9502724,0.9540179,0.94757104,0.9474036,0.9534244,0.9493863,0.9507515,0.95003337,0.9504175,0.9522891,0.9526309,0.9536576,0.95154434,0.9544905,0.95162797,0.9510145,0.94542456,0.95121384,0.9534058,0.95131254,0.9529816,0.948689,0.953178,0.94902056,0.95146173,0.95238477,0.9539456,0.9509153,0.95563084,0.9535818,0.9532834,0.95666355,0.9514513,0.9526691,0.9531369,0.9504523,0.9524533,0.9559866,0.95251334,0.9546007,0.95385545,0.95549387,0.95114577,0.9573597,0.95156264,0.95248675,0.9525195,0.9490814,0.9538093,0.95083606,0.9477041,0.9508971,0.9530168,0.9527378,0.95316726,0.95409817,0.95408654,0.95214367,0.9518851,0.95015234,0.9544958,0.95522267,0.9538854,0.9540055,0.95036775,0.9533702,0.94997454,0.9535778
HSPA4,0.9522024,0.9548485,0.9520978,0.9490598,0.9493657,0.95099056,0.9517745,0.9540545,0.95142895,0.9544672,0.9515313,0.95489216,0.9486408,0.95111537,0.94969547,0.9513855,0.95431,0.9495659,0.950321,0.9529525,0.95169586,0.95032644,0.95505756,0.94979763,0.9516821,0.95067567,0.9544118,0.9545265,0.9540493,0.9542669,0.99999523,0.9502188,0.9538518,0.95510226,0.9516279,0.95177484,0.9512291,0.9503034,0.9541902,0.9520416,0.95118266,0.9537275,0.95184493,0.9541923,0.9501994,0.95522916,0.9496252,0.9513723,0.95044583,0.9511434,0.9539551,0.9531028,0.9506552,0.95279366,0.9553141,0.9546772,0.949158,0.9537126,0.9532898,0.9523623,0.95629466,0.95324105,0.9531863,0.9533734,0.95526975,0.9495974,0.9532136,0.9516399,0.95136786,0.9507484,0.950969,0.9527639,0.9551845,0.95261824,0.9517079,0.9548633,0.95289886,0.954413,0.9520167,0.9500221,0.9552016,0.9534286,0.9500804,0.95328605,0.95328367,0.9509504,0.9526917,0.9546579,0.9564658,0.9553339,0.953817,0.9533778,0.9553205,0.95313394,0.95477754,0.95271635,0.95418566,0.9523354,0.9521372,0.9537078
HSPH1,0.948599,0.9525696,0.9473387,0.9526214,0.9485019,0.95448387,0.95388246,0.9522226,0.95266676,0.9500958,0.9435938,0.95155954,0.9551541,0.9477068,0.9438762,0.9472525,0.95198965,0.9520876,0.95477426,0.95137507,0.9534281,0.95402443,0.95072466,0.9515641,0.95196396,0.95239997,0.95514643,0.94969827,0.95105654,0.94806206,0.9502188,1.0000103,0.9515418,0.94962424,0.95606893,0.95813566,0.94724804,0.95573205,0.951929,0.95439947,0.95136386,0.9512774,0.9498848,0.9498268,0.9464246,0.950161,0.9502078,0.95420265,0.9616917,0.9566655,0.951451,0.95105183,0.9450426,0.95777327,0.9506022,0.95446587,0.94895065,0.9508661,0.9498091,0.9546945,0.94851184,0.9509288,0.9507117,0.95114374,0.95389116,0.94226104,0.9525579,0.95865536,0.9510166,0.9488917,0.94760746,0.95135796,0.9513361,0.9472335,0.9515127,0.94741,0.95423937,0.9498419,0.9565972,0.9640722,0.9512602,0.95224226,0.9545657,0.94829464,0.94995856,0.9548794,0.9537039,0.9507424,0.9504341,0.951177,0.9517413,0.95308375,0.9486867,0.94617,0.9521107,0.9492701,0.95251477,0.9496815,0.9519565,0.95337135
IL17F,0.9502389,0.9522672,0.95092845,0.9500479,0.9492024,0.9525361,0.9535771,0.9548139,0.9512245,0.9499837,0.95072323,0.9534673,0.9466561,0.95063287,0.94860005,0.9498267,0.9541762,0.94669884,0.94965667,0.9526102,0.9533317,0.94961995,0.9570836,0.9480047,0.95233846,0.9517112,0.9522983,0.95468545,0.95105594,0.9502724,0.9538518,0.9515418,0.9999869,0.9545727,0.95879227,0.9560194,0.95109135,0.9509193,0.95535725,0.9479876,0.95091444,0.9519427,0.95275486,0.9509384,0.9503037,0.957786,0.94712657,0.95083284,0.95384836,0.9538672,0.95535207,0.95308924,0.9485648,0.95351577,0.9526231,0.95148563,0.9466981,0.9605112,0.9525877,0.95867616,0.95389265,0.9533519,0.95138836,0.9519668,0.95343447,0.9461176,0.9519912,0.95565045,0.9505059,0.94839346,0.9473266,0.94854724,0.955211,0.94961566,0.954649,0.951233,0.9548572,0.95476615,0.9513091,0.9499905,0.95417726,0.9564382,0.95434225,0.9514981,0.953851,0.9503672,0.95209926,0.9558092,0.95306873,0.95265394,0.95599496,0.9586311,0.95604694,0.95035225,0.95239866,0.9514667,0.9564648,0.9507705,0.9500079,0.9554065
KDELR2,0.9531095,0.95436287,0.95311064,0.94813746,0.95010203,0.9537067,0.95223266,0.95483977,0.954852,0.9558833,0.95183736,0.953946,0.9486588,0.9532509,0.9488455,0.9549832,0.95454633,0.95019644,0.94967616,0.95643246,0.955334,0.9506725,0.9563485,0.9541261,0.9539036,0.95446813,0.9552548,0.9569107,0.9532729,0.9540179,0.95510226,0.94962424,0.9545727,1.0000123,0.953059,0.95340836,0.95436007,0.9523235,0.95339,0.9517451,0.95358604,0.9543898,0.9531257,0.955029,0.95009387,0.9581718,0.9492332,0.9510362,0.9511808,0.9506671,0.95520717,0.9525307,0.9515703,0.9509583,0.9553529,0.9562015,0.94947726,0.9523815,0.9559999,0.9570111,0.95718616,0.95570415,0.95205986,0.9541945,0.9550585,0.94894814,0.95344496,0.95196724,0.95056885,0.9501196,0.9493183,0.9542226,0.95610666,0.9520993,0.9530432,0.95566934,0.957606,0.9545444,0.95396423,0.94965297,0.9535541,0.95313793,0.94908315,0.9538077,0.95446765,0.9501661,0.9563078,0.9533329,0.956918,0.95410484,0.9553669,0.95465493,0.9556296,0.95349944,0.9551903,0.95013666,0.95601934,0.95229125,0.9507869,0.9544745
KLF13,0.9510479,0.9513883,0.9511206,0.9510113,0.9522842,0.95749485,0.95440125,0.9574887,0.9539226,0.94681746,0.9502195,0.95058584,0.9508136,0.94897676,0.9489041,0.94892263,0.9528793,0.94668055,0.9488567,0.95250255,0.9546348,0.94945693,0.9565479,0.94780093,0.9572804,0.9504178,0.9554912,0.9525287,0.950305,0.94757104,0.9516279,0.95606893,0.95879227,0.953059,0.9999941,0.9573334,0.9523206,0.9562087,0.9531033,0.95080435,0.95546067,0.9504477,0.95024514,0.95140934,0.95042914,0.9529143,0.94858205,0.94855374,0.9574679,0.9529396,0.95163316,0.95015836,0.94762146,0.9535331,0.9504377,0.9531625,0.9500219,0.9561757,0.9518286,0.95728135,0.949214,0.9515487,0.95234066,0.94966424,0.95311743,0.94767225,0.94726944,0.9527233,0.9518552,0.9463247,0.94797766,0.9518485,0.9532251,0.9496339,0.9505906,0.9493396,0.9556945,0.9521701,0.95142215,0.9537444,0.95465416,0.9547157,0.9587762,0.9515453,0.95357615,0.94698364,0.9523288,0.953354,0.9521732,0.9509463,0.9530727,0.95699286,0.95271087,0.9505739,0.9505056,0.9464171,0.95476174,0.9486013,0.95170534,0.9526324
KLHL29,0.94880843,0.9517767,0.9444019,0.9496224,0.94560677,0.9551553,0.95593536,0.95359015,0.9530754,0.94893175,0.945535,0.95087194,0.9495895,0.94411594,0.9449603,0.9444347,0.95256907,0.94766873,0.94718546,0.95052344,0.9557107,0.94977367,0.9521463,0.94771934,0.9499012,0.9524356,0.95516753,0.9506724,0.95100296,0.9474036,0.95177484,0.95813566,0.9560194,0.95340836,0.9573334,1.0000017,0.9447866,0.9553903,0.9560934,0.95432496,0.9509636,0.9523303,0.9503966,0.9512492,0.94651985,0.95197874,0.9443008,0.9524164,0.9616946,0.95154274,0.9525465,0.95183825,0.94166917,0.95236784,0.951181,0.95597494,0.947133,0.95081055,0.9521804,0.95561916,0.9493979,0.9526695,0.94996035,0.9500184,0.95362175,0.9379934,0.95233285,0.9590983,0.9445689,0.9444708,0.9448145,0.9486117,0.95329124,0.94078946,0.9548683,0.9486597,0.9568576,0.952547,0.95217234,0.9531921,0.95143116,0.9616596,0.95333636,0.9505723,0.94983983,0.9481766,0.9519728,0.9518445,0.9506709,0.9522927,0.95321447,0.9559476,0.95051306,0.9469298,0.95256996,0.94747543,0.9548601,0.947828,0.951196,0.95354843
KLRG1,0.95310646,0.95215034,0.95914704,0.94942945,0.9592889,0.95349175,0.9485645,0.95039225,0.9518116,0.9502695,0.9584332,0.9509155,0.95129764,0.9596695,0.9549771,0.95861745,0.9513881,0.9527841,0.9538368,0.9585501,0.95517564,0.9543384,0.95242256,0.9534819,0.9531782,0.9503091,0.9498862,0.9572857,0.94982636,0.9534244,0.9512291,0.94724804,0.95109135,0.95436007,0.9523206,0.9447866,1.000009,0.9503421,0.9455533,0.95083624,0.9588522,0.9494519,0.9521191,0.9526483,0.9545821,0.95556813,0.9563063,0.9490578,0.944556,0.94756484,0.9508299,0.95034397,0.9629149,0.94702137,0.95237136,0.9514837,0.9519692,0.9555129,0.9523632,0.95411706,0.9539621,0.95113,0.95203215,0.9549703,0.9496965,0.9622982,0.94956094,0.94600815,0.95534307,0.95508707,0.95669913,0.9580917,0.95175064,0.96161944,0.94616497,0.9564514,0.95199287,0.9508203,0.9510478,0.95316625,0.9514082,0.9477538,0.95168424,0.9558199,0.96095556,0.94897914,0.95177126,0.95186496,0.95447177,0.9502021,0.9510362,0.95387053,0.95482016,0.95523036,0.9486236,0.9492509,0.95408654,0.9578378,0.9535242,0.94900733
KRTCAP2,0.949966,0.95382786,0.9480253,0.9545505,0.9517817,0.95546776,0.95346606,0.95376736,0.9550266,0.9513008,0.9485403,0.95312375,0.9556072,0.95094216,0.9509279,0.95079434,0.954235,0.9537858,0.9537797,0.9531179,0.954588,0.9534909,0.9517834,0.951195,0.9510964,0.9546961,0.95396936,0.9512855,0.9536285,0.9493863,0.9503034,0.95573205,0.9509193,0.9523235,0.9562087,0.9553903,0.9503421,1.0000014,0.9543363,0.95769805,0.95310503,0.9516084,0.9517631,0.9525032,0.9493182,0.9543439,0.95021665,0.9551752,0.958493,0.9517904,0.95160633,0.9529192,0.9494921,0.9569235,0.950131,0.95719737,0.95138663,0.9486924,0.95283175,0.9537089,0.9515727,0.95394564,0.9540874,0.9516783,0.9542826,0.9490113,0.95225817,0.9517761,0.9523956,0.9498965,0.95153266,0.95342857,0.9493082,0.94936085,0.9521919,0.95022833,0.9551623,0.95188797,0.95422125,0.9560434,0.95193094,0.9500056,0.9542624,0.95295537,0.95155644,0.94980973,0.95782065,0.95320004,0.952602,0.95296514,0.95181537,0.9507659,0.95011497,0.9495982,0.9559968,0.95093423,0.9521694,0.9519914,0.9540288,0.9558332
LBHD1,0.9509006,0.9540647,0.9471344,0.952582,0.9481791,0.95276237,0.95450497,0.955336,0.95194775,0.95243955,0.9491496,0.95206183,0.9504413,0.9470414,0.94986755,0.9471623,0.9546436,0.94792926,0.94783854,0.94997966,0.9514848,0.95067966,0.9531292,0.9497742,0.95120263,0.9536911,0.952844,0.9514713,0.95275646,0.9507515,0.9541902,0.951929,0.95535725,0.95339,0.9531033,0.9560934,0.9455533,0.9543363,1.0000004,0.95310247,0.9486561,0.9527193,0.95267916,0.95286256,0.95002943,0.9540445,0.9468657,0.9530888,0.9569397,0.9531923,0.9525451,0.95380175,0.94575334,0.9539715,0.95100796,0.9538834,0.95064664,0.9504145,0.9556066,0.9554086,0.95347047,0.9537364,0.9515851,0.9491832,0.9551249,0.94527674,0.95319915,0.95497316,0.94930524,0.94864416,0.94717646,0.94986606,0.95307726,0.946639,0.9571884,0.9493985,0.9533466,0.95486397,0.9508077,0.95140934,0.95168895,0.9541168,0.9516547,0.95138454,0.9486854,0.9500199,0.9531142,0.95683414,0.9526022,0.95387304,0.9556124,0.95256096,0.9518578,0.94898325,0.9556903,0.95273685,0.95136005,0.9489747,0.950197,0.95560586
LCMT2,0.9499442,0.9542671,0.9490206,0.9540734,0.95083565,0.9553228,0.9546405,0.9486737,0.95517737,0.95047027,0.9496428,0.9496594,0.95804584,0.9512535,0.95252544,0.95173466,0.9515871,0.95374775,0.9547726,0.9511728,0.9538621,0.95499814,0.9491261,0.94819325,0.946774,0.95300156,0.9519919,0.95186436,0.9534756,0.95003337,0.9520416,0.95439947,0.9479876,0.9517451,0.95080435,0.95432496,0.95083624,0.95769805,0.95310247,1.0000045,0.9531247,0.95252013,0.951136,0.9502149,0.9495725,0.949549,0.9507425,0.95434535,0.95894104,0.9489965,0.9521675,0.95253325,0.95059216,0.9588787,0.94996876,0.95849246,0.9519515,0.94540834,0.94815487,0.9490157,0.95115626,0.9543567,0.9557716,0.95349205,0.9513781,0.95046955,0.95194817,0.9479815,0.9525044,0.9509129,0.9535711,0.9563333,0.9465432,0.95189273,0.9534491,0.94887626,0.952953,0.9485565,0.9562187,0.9576309,0.94947886,0.9480646,0.9530518,0.9525547,0.95226943,0.9540424,0.9548839,0.94954556,0.9511974,0.9528986,0.9509231,0.950739,0.94918483,0.9494119,0.95204556,0.9501158,0.9541311,0.9585248,0.9577413,0.9498601
LRP6,0.95165956,0.9538249,0.9547847,0.95074034,0.9577217,0.9562762,0.9528798,0.95185727,0.95306194,0.9541532,0.95285356,0.9521873,0.9514614,0.9511195,0.95062476,0.9550617,0.95210516,0.95115995,0.95369965,0.9535381,0.95480597,0.9525723,0.95268613,0.9513513,0.95430905,0.9512541,0.9531276,0.9561128,0.9504338,0.9504175,0.95118266,0.95136386,0.95091444,0.95358604,0.95546067,0.9509636,0.9588522,0.95310503,0.9486561,0.9531247,0.9999937,0.94938684,0.95321184,0.9516169,0.95057744,0.9549842,0.9514063,0.9485006,0.9483002,0.95006216,0.9501715,0.9510231,0.95299584,0.94652843,0.9544239,0.9524146,0.94985205,0.95694214,0.95285684,0.9504525,0.9519785,0.9506825,0.951789,0.9516625,0.95217955,0.9510149,0.94960093,0.9515031,0.95221597,0.95070684,0.95289654,0.95473707,0.953783,0.9538127,0.9454557,0.9545195,0.95309466,0.9556488,0.95372784,0.9517642,0.95210624,0.95120645,0.9542114,0.95316726,0.95678127,0.9468847,0.94906014,0.9513829,0.95550656,0.9523144,0.95072305,0.95840406,0.9551073,0.9508834,0.95014495,0.95098585,0.95739233,0.9524671,0.952329,0.95049727
LRRC37A3,0.95056,0.9508295,0.9493962,0.9501022,0.9481678,0.95111895,0.9526659,0.9517713,0.9503728,0.9522384,0.9492204,0.95447624,0.95006585,0.9500925,0.949246,0.95148987,0.95285857,0.9512039,0.95112544,0.9511409,0.9522294,0.9526603,0.95331025,0.9503107,0.94893956,0.95304036,0.9552708,0.951565,0.9538288,0.9522891,0.9537275,0.9512774,0.9519427,0.9543898,0.9504477,0.9523303,0.9494519,0.9516084,0.9527193,0.95252013,0.94938684,1.0000021,0.9521676,0.95476377,0.9489008,0.95213413,0.9484911,0.95140815,0.9527291,0.9502429,0.95227003,0.9550504,0.94894207,0.9514503,0.95549524,0.95537585,0.94918334,0.9511173,0.9515429,0.9519135,0.95294875,0.95373344,0.95084876,0.9524102,0.9526116,0.9483831,0.9522722,0.952544,0.94952714,0.9500994,0.9490009,0.9496002,0.9536581,0.9495466,0.95369124,0.9505868,0.95499504,0.9516677,0.9514124,0.9501589,0.9521213,0.952394,0.9498175,0.9525333,0.94984096,0.9506531,0.95075727,0.9521992,0.95368063,0.95705163,0.9521738,0.95214254,0.9521433,0.9502754,0.9535291,0.95086277,0.95266515,0.95152843,0.9505027,0.952052
