,ATF7IP2,ATP10D,ATP6V1E2,BACH2,BBS10,BEND3,BRD7,BTLA,C10orf105,C11orf1,CA1,CCPG1,CD8A,CDK10,CLIC5,CREBZF,CYB5R1,DMRT1,DYRK4,EFHD1,EHF,EHMT1,EML5,FAM208A,FAM229B,GALT,GLI3,HES5,HIST1H4I,HLA-DQA2,HSPA4,HSPH1,IL17F,KDELR2,KLF13,KLHL29,KLRG1,KRTCAP2,LBHD1,LCMT2,LRP6,LRRC37A3,LYST,MAP3K9,MAPK8,MEFV,METAP1,MGA,MICA,MOSMO,MT3,NDST1,NNAT,OPTN,ORM2,P3H3,PEX10,PIP,POMK,POU2F3,RAB30,RAMP1,RASD2,RBMS1,RCBTB1,RPS6KA1,S100P,SAMHD1,SFMBT2,SFN,SFXN4,SH3KBP1,SIT1,SLC25A33,SLC25A53,SLC38A7,SPATA2,SUMF1,THYN1,TMEM229B,TMEM25,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,TTC39B,TWIST1,VAMP2,ZDHHC5,ZFP14,ZGLP1,ZNF10,ZNF235,ZNF285,ZNF473,ZNF534,ZNF583,ZNF687,ZNF880
CA1,0.95315266,0.95099354,0.95979077,0.9529385,0.9594101,0.9515103,0.95027846,0.95082915,0.9524025,0.9528931,1.0000073,0.95013297,0.951347,0.95939195,0.9635303,0.9573399,0.950319,0.951206,0.95340985,0.9525124,0.9504312,0.9499948,0.9515473,0.95330834,0.9521795,0.9510256,0.95037264,0.9528962,0.95071495,0.9532941,0.9515313,0.9435938,0.95072323,0.95183736,0.9502195,0.945535,0.9584332,0.9485403,0.9491496,0.9496428,0.95285356,0.9492204,0.95054245,0.9505159,0.95704156,0.952456,0.9548292,0.94901836,0.9457715,0.95098454,0.9513827,0.949891,0.96170974,0.95058554,0.9527021,0.95017815,0.95703924,0.9551184,0.95185554,0.95151544,0.95326465,0.9515263,0.95265293,0.9517513,0.94962984,0.9641298,0.95018804,0.9432722,0.95555025,0.9555106,0.9596308,0.95335126,0.95143723,0.95667076,0.949271,0.95452523,0.9496864,0.95150423,0.9518046,0.9512281,0.95106846,0.94889873,0.9513631,0.9542959,0.9532812,0.95202523,0.9502118,0.95187616,0.95309573,0.95044196,0.9521764,0.95292836,0.9530737,0.9569465,0.94941825,0.9525627,0.9515405,0.95401084,0.95572543,0.9504349
CCPG1,0.950869,0.95373005,0.9505552,0.9507705,0.9507274,0.9497918,0.951511,0.9528293,0.95078504,0.95525956,0.95013297,1.000009,0.9504502,0.95083666,0.949692,0.95387447,0.952762,0.9519576,0.95220345,0.9529398,0.95287555,0.9526386,0.9542887,0.95250326,0.9525778,0.95410603,0.95512086,0.95442414,0.954262,0.95383346,0.95489216,0.95155954,0.9534673,0.953946,0.95058584,0.95087194,0.9509155,0.95312375,0.95206183,0.9496594,0.9521873,0.95447624,0.95261693,0.9548717,0.9480582,0.9544522,0.9502144,0.9525667,0.95031834,0.95336765,0.9534484,0.95422524,0.9497077,0.9505087,0.95506734,0.9526983,0.94982934,0.9558013,0.9528413,0.9524351,0.95564,0.95512694,0.95248765,0.95381576,0.9552506,0.9498099,0.95564705,0.95473576,0.9531798,0.9526822,0.95071465,0.95085824,0.95591354,0.952446,0.9518528,0.95428693,0.95483416,0.95425576,0.953861,0.9494284,0.9551705,0.9521909,0.9492811,0.9508965,0.9524534,0.9536069,0.95205945,0.95596045,0.9550939,0.95453733,0.95580816,0.9534194,0.9537597,0.9516734,0.95592356,0.95389134,0.9514345,0.9537856,0.95033085,0.95661294
CD8A,0.95011985,0.95040816,0.9521906,0.9582903,0.9560214,0.95392025,0.9512446,0.9481783,0.9541211,0.95004135,0.951347,0.9504502,0.9999881,0.9543379,0.9563207,0.9523958,0.9493516,0.9567824,0.9589668,0.9493674,0.9503777,0.95360637,0.94677466,0.9535928,0.9494876,0.9543116,0.9504381,0.94880384,0.9511969,0.9498381,0.9486408,0.9551541,0.9466561,0.9486588,0.9508136,0.9495895,0.95129764,0.9556072,0.9504413,0.95804584,0.9514614,0.95006585,0.94970626,0.9496674,0.95206803,0.9494756,0.95646095,0.9559809,0.9549519,0.95387447,0.9499984,0.9505385,0.955214,0.95556945,0.9491999,0.95372033,0.9567952,0.94922763,0.9491675,0.95047927,0.9489103,0.9521662,0.9557693,0.95095503,0.9507781,0.95534533,0.95267326,0.9461688,0.9557939,0.95489883,0.9550611,0.9547884,0.94821465,0.9536976,0.9512732,0.949835,0.9507355,0.9490896,0.95497906,0.95864403,0.94969666,0.94197345,0.9533539,0.9529572,0.9519534,0.957449,0.9534772,0.94902265,0.9501375,0.94942266,0.94997454,0.9461552,0.9482471,0.9496802,0.9506501,0.95166665,0.95031077,0.95305514,0.95692384,0.95144784
CDK10,0.9534172,0.95163816,0.9615361,0.9541972,0.96030605,0.95198673,0.94921243,0.9505725,0.9522905,0.9528207,0.95939195,0.95083666,0.9543379,0.99999005,0.95817727,0.95783556,0.95139337,0.9564123,0.95706993,0.9547783,0.950957,0.9532584,0.95150864,0.9559458,0.95359117,0.95149505,0.95030487,0.9539263,0.9517255,0.9560505,0.95111537,0.9477068,0.95063287,0.9532509,0.94897676,0.94411594,0.9596695,0.95094216,0.9470414,0.9512535,0.9511195,0.9500925,0.9515739,0.95050687,0.9557607,0.9541507,0.9581791,0.95210254,0.94766897,0.9524477,0.95150954,0.95014334,0.96297294,0.9527725,0.95240754,0.9498793,0.9541915,0.95470464,0.9512371,0.9528236,0.95335484,0.952337,0.9536099,0.9530355,0.950735,0.96366465,0.9527574,0.9457524,0.9583814,0.9583305,0.9575777,0.9552436,0.95102584,0.96094674,0.95022875,0.9547703,0.9511114,0.95100605,0.9548148,0.9529394,0.9503341,0.94522226,0.9514013,0.9532254,0.9540983,0.9545624,0.953425,0.95169836,0.9521105,0.9495501,0.9532763,0.9512224,0.9536008,0.95691943,0.95091224,0.9536198,0.9514117,0.9561142,0.95542413,0.95140904
CLIC5,0.94912386,0.9487175,0.95342875,0.9564746,0.9599355,0.9504144,0.9517716,0.94895756,0.94996995,0.9496239,0.9635303,0.949692,0.9563207,0.95817727,0.9999951,0.9539095,0.94990176,0.95230055,0.95535076,0.9492921,0.9491088,0.95079017,0.9494535,0.9512934,0.9497031,0.95081294,0.94861287,0.9493615,0.9498565,0.949602,0.94969547,0.9438762,0.94860005,0.9488455,0.9489041,0.9449603,0.9549771,0.9509279,0.94986755,0.95252544,0.95062476,0.949246,0.9501091,0.9483227,0.9579604,0.94926494,0.9534705,0.9510766,0.9492647,0.9513035,0.9494828,0.95065236,0.9595447,0.9520237,0.9496164,0.9502834,0.9610994,0.9508856,0.9482344,0.9485575,0.9495797,0.9496142,0.9530509,0.94915175,0.94978464,0.96526396,0.94941896,0.9411083,0.95516264,0.9533965,0.9615517,0.9512935,0.9491889,0.9546068,0.9491377,0.9492703,0.9476963,0.9498347,0.95122373,0.95000476,0.94975924,0.94355214,0.9544772,0.9544841,0.95010126,0.9520464,0.94989324,0.94989103,0.9499769,0.9492763,0.9487252,0.94920456,0.94952273,0.952598,0.947927,0.95176977,0.9501211,0.95152104,0.9567623,0.9497944
CREBZF,0.9533818,0.953108,0.95713055,0.953148,0.9556898,0.95079744,0.9483291,0.9509344,0.9531627,0.9568256,0.9573399,0.95387447,0.9523958,0.95783556,0.9539095,0.99999946,0.95199645,0.95423657,0.95489484,0.9527136,0.95147043,0.95331264,0.9518858,0.9542106,0.9515346,0.9529143,0.9496967,0.95622396,0.9532044,0.95614946,0.9513855,0.9472525,0.9498267,0.9549832,0.94892263,0.9444347,0.95861745,0.95079434,0.9471623,0.95173466,0.9550617,0.95148987,0.95290554,0.9516906,0.95359343,0.9542226,0.9556046,0.95064014,0.9439696,0.95057374,0.9534366,0.9505222,0.9583193,0.9505306,0.9529975,0.9503015,0.95115966,0.9543853,0.9532801,0.9509729,0.9562304,0.95340455,0.9555574,0.95302534,0.9508977,0.959098,0.9538474,0.94809467,0.95703274,0.9565379,0.95565957,0.9552595,0.9517828,0.9600037,0.9498407,0.95762444,0.9501525,0.9535628,0.9544695,0.952826,0.95215774,0.9494846,0.94962245,0.9534393,0.95561886,0.9535386,0.95324945,0.95348704,0.95415294,0.9522209,0.951803,0.9535732,0.9554381,0.9569522,0.9512155,0.9562165,0.95239323,0.9568728,0.9549564,0.9518616
CYB5R1,0.95225555,0.9540442,0.95165145,0.95172554,0.95125467,0.9532981,0.9525984,0.9566042,0.95198,0.9532084,0.950319,0.952762,0.9493516,0.95139337,0.94990176,0.95199645,0.99999887,0.9511682,0.9509078,0.9523787,0.9521077,0.9516772,0.9559545,0.95065343,0.95237035,0.95139825,0.95399517,0.9549859,0.951303,0.9528974,0.95431,0.95198965,0.9541762,0.95454633,0.9528793,0.95256907,0.9513881,0.954235,0.9546436,0.9515871,0.95210516,0.95285857,0.953564,0.9528639,0.9517541,0.9555325,0.9507509,0.9516281,0.9530164,0.9537701,0.95324385,0.95230436,0.9503601,0.951719,0.9538945,0.9538644,0.94979537,0.9533386,0.9537052,0.95720047,0.95411706,0.95394754,0.9521955,0.9515714,0.95355266,0.95021635,0.9522597,0.9524914,0.95148855,0.9519434,0.95095265,0.9517097,0.954052,0.95129305,0.95126635,0.95315903,0.9531943,0.9525303,0.9510906,0.9506859,0.9530429,0.95285505,0.9543978,0.95346713,0.95224994,0.9505797,0.9533311,0.9550913,0.9531086,0.9526343,0.9553243,0.9529849,0.9538953,0.95205027,0.9539008,0.9516805,0.95239913,0.95045555,0.9509126,0.9547314
DMRT1,0.9505036,0.950932,0.95485777,0.95347375,0.9549045,0.9494692,0.9503173,0.9481962,0.952231,0.95152545,0.951206,0.9519576,0.9567824,0.9564123,0.95230055,0.95423657,0.9511682,0.9999887,0.95896554,0.9538854,0.95014215,0.9559879,0.9480822,0.9586827,0.9507113,0.9549605,0.9505688,0.9485921,0.9522441,0.9537284,0.9495659,0.9520876,0.94669884,0.95019644,0.94668055,0.94766873,0.9527841,0.9537858,0.94792926,0.95374775,0.95115995,0.9512039,0.95048386,0.9503428,0.9509442,0.9504255,0.9560208,0.9546234,0.95226836,0.95332074,0.9504761,0.9505261,0.9553184,0.9506591,0.9493332,0.95178753,0.9538148,0.9499384,0.9497143,0.950866,0.9527113,0.95176697,0.95340794,0.95419097,0.94956446,0.9555289,0.9561,0.94961715,0.9548507,0.95747495,0.95376205,0.9520149,0.9495742,0.9542477,0.95191854,0.9524029,0.95196736,0.9490764,0.954646,0.95454514,0.95122176,0.9463436,0.95153445,0.95059335,0.9512387,0.95882696,0.9535618,0.9510729,0.949889,0.9495927,0.95143175,0.9486307,0.94877136,0.9533949,0.95212424,0.9528587,0.94715273,0.95576274,0.95239687,0.95275784
DYRK4,0.94941986,0.9522501,0.95680183,0.95847964,0.9549192,0.95201117,0.951273,0.9484912,0.9573993,0.94979477,0.95340985,0.95220345,0.9589668,0.95706993,0.95535076,0.95489484,0.9509078,0.95896554,1.0000015,0.9520633,0.95097464,0.95563745,0.9484018,0.9527166,0.94930756,0.9506111,0.94956183,0.9525864,0.9528731,0.9515721,0.950321,0.95477426,0.94965667,0.94967616,0.9488567,0.94718546,0.9538368,0.9537797,0.94783854,0.9547726,0.95369965,0.95112544,0.9517751,0.94799,0.95032555,0.94936115,0.95638937,0.9544447,0.9519591,0.95264703,0.9503236,0.95056003,0.9555885,0.9559516,0.951726,0.9537656,0.9546232,0.9535602,0.9488157,0.9516221,0.95422196,0.9516916,0.9547279,0.9535506,0.9513747,0.9565038,0.9539665,0.9481775,0.9607986,0.95815635,0.95849085,0.95455754,0.9509245,0.9581361,0.95026773,0.9518425,0.95109177,0.9503634,0.95814264,0.9573208,0.9517852,0.946307,0.9528319,0.95148647,0.9523882,0.96040905,0.9555018,0.952923,0.95367223,0.95090896,0.9510163,0.9510521,0.9509698,0.95365155,0.952725,0.9539921,0.9536783,0.95657873,0.9583434,0.95354503
EFHD1,0.95543665,0.95538485,0.95634496,0.9486627,0.9512655,0.95272255,0.95062405,0.9518034,0.95562565,0.95351994,0.9525124,0.9529398,0.9493674,0.9547783,0.9492921,0.9527136,0.9523787,0.9538854,0.9520633,1.0000035,0.9570988,0.95499414,0.9559597,0.9553757,0.95744216,0.9509254,0.9534843,0.95789605,0.9531129,0.95661,0.9529525,0.95137507,0.9526102,0.95643246,0.95250255,0.95052344,0.9585501,0.9531179,0.94997966,0.9511728,0.9535381,0.9511409,0.9529765,0.9544991,0.95103884,0.95701617,0.9523698,0.9538438,0.9473985,0.9488913,0.9513449,0.9515796,0.9538054,0.95018065,0.95316386,0.9521184,0.94992316,0.9527933,0.9546377,0.95571136,0.95612687,0.9563536,0.95317054,0.95856667,0.95131814,0.9532137,0.95277727,0.95150405,0.9526786,0.9527558,0.9520001,0.9585717,0.9539051,0.9545407,0.9477725,0.9589273,0.95499337,0.9511696,0.95440394,0.9521031,0.9554143,0.95103025,0.94866276,0.95470333,0.95567214,0.94984776,0.95819414,0.95449054,0.955247,0.9517284,0.95152223,0.9546558,0.9573277,0.9551132,0.95360684,0.9497396,0.95298177,0.9562747,0.9525681,0.95519924
