,AK3,ATF7IP2,ATP10D,ATP6V1E2,ATXN7L3,BACH2,BBS10,BEND3,BHLHE40,BTLA,CA1,CCNB1,CCPG1,CD8A,CDHR5,CDK10,CLIC5,CYB5R1,CYP20A1,DMRT1,DPF3,DST,EHF,EHMT1,ELOF1,FAM208A,FAM229B,HDHD3,HES5,HIST1H4I,HOXA1,HSPH1,IL17F,KCNIP2,KDELR2,KDM6A,KLF13,KLRG1,KRTCAP2,LCMT2,LRP6,LRRC37A3,LRTOMT,LY96,LYST,MAP7D1,MAPK8,MBOAT2,MCTS1,MED19,MGA,MICA,MOSMO,MT3,NDST1,NNAT,ORM2,P3H3,PEX10,PIP,POU2F3,RAB30,RAMP1,RASD2,RCBTB1,RFX5,RPL26L1,RPS6KA1,S100P,SAMHD1,SENP5,SFXN4,SH2D2A,SH3KBP1,SIKE1,SIT1,SLC25A33,SPATA2,SYNE1,TESPA1,THYN1,TMEM229B,TMEM25,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,YWHAG,ZDHHC5,ZFHX4,ZFP14,ZNF10,ZNF138,ZNF235,ZNF473,ZNF483,ZNF534,ZNF687,ZNF880
CA1,0.9469011,0.952717,0.952985,0.9541677,0.9464815,0.94406164,0.95503706,0.94717026,0.9424204,0.9481193,1.0000066,0.95125616,0.95416284,0.9508294,0.9488748,0.9540209,0.9443332,0.9533537,0.95202714,0.95234716,0.9534698,0.9477751,0.95355403,0.9487298,0.9506875,0.95212436,0.95716643,0.95266354,0.95341957,0.9522764,0.9486018,0.944654,0.9501335,0.94809675,0.9621452,0.94715863,0.9482784,0.9599793,0.9488806,0.94792193,0.95421976,0.95128554,0.9535609,0.9478175,0.9523451,0.9481222,0.95272636,0.94636476,0.94698817,0.95092654,0.9516791,0.938222,0.9510641,0.9526799,0.9525007,0.95526767,0.95440245,0.95391816,0.9527092,0.9564413,0.9502938,0.960484,0.9502773,0.9581417,0.950687,0.95155686,0.95246404,0.9512973,0.9567694,0.95226634,0.95355314,0.95283026,0.9541403,0.9582434,0.94314355,0.9510703,0.9538777,0.954711,0.94837236,0.9499556,0.95640385,0.9499972,0.95681566,0.9524412,0.9425932,0.9553793,0.95860356,0.95481527,0.9503377,0.95295286,0.9505007,0.9564295,0.9570626,0.9509896,0.95862234,0.9516406,0.95048076,0.95567006,0.9493078,0.95354354
CCNB1,0.95485353,0.95055926,0.95021576,0.9502024,0.9519558,0.95292187,0.9527159,0.94885045,0.9508396,0.949449,0.95125616,0.9999977,0.95485604,0.9539131,0.95354295,0.95000273,0.95245993,0.95127296,0.95084864,0.95289475,0.9539134,0.9511212,0.9501794,0.95182425,0.9498595,0.95522,0.95244956,0.9503198,0.94820946,0.9517611,0.94988143,0.9526165,0.9483375,0.94848084,0.9497351,0.95032233,0.94807386,0.9461608,0.9520771,0.9474843,0.9511763,0.9517879,0.9486797,0.948733,0.95006835,0.94965553,0.9514205,0.9494087,0.9497284,0.9514811,0.9536558,0.95127773,0.95566154,0.9518188,0.95091283,0.9491574,0.95196474,0.94984984,0.95631635,0.95173335,0.9503032,0.950547,0.95210326,0.95294106,0.9534274,0.9505286,0.9480953,0.9474259,0.95292854,0.9535399,0.95241004,0.9495643,0.95432705,0.94951475,0.94975674,0.9522864,0.9490304,0.9538142,0.95147246,0.949883,0.95196545,0.949584,0.95347357,0.95093894,0.9502905,0.95063233,0.94959444,0.9543945,0.95115006,0.95103353,0.95167536,0.9493219,0.94964236,0.9497874,0.9514791,0.9549371,0.9510515,0.94684464,0.94888526,0.9545385
CCPG1,0.9511971,0.94807315,0.9526378,0.94788736,0.949227,0.95285964,0.95682853,0.94697225,0.94911975,0.9480119,0.95416284,0.95485604,0.99999464,0.954472,0.9517159,0.95160866,0.9502434,0.9543047,0.9522734,0.95368266,0.95090276,0.94916606,0.9514556,0.9555424,0.9496899,0.9522781,0.95778275,0.9500911,0.9503532,0.95112205,0.950438,0.94854516,0.9484055,0.9483321,0.95476675,0.94766057,0.9495613,0.9549811,0.9526805,0.9499349,0.95772225,0.9521297,0.95095897,0.9484707,0.95144403,0.9511126,0.951119,0.949251,0.9473974,0.95073086,0.9536675,0.9475764,0.9539476,0.95222163,0.9534183,0.9500549,0.9517066,0.95294285,0.9554795,0.9531186,0.9488399,0.95606375,0.9522262,0.95394105,0.95212686,0.9511347,0.9498687,0.94934267,0.9544224,0.95573175,0.9527836,0.9525423,0.95194393,0.95702744,0.94560033,0.95026356,0.9514728,0.95270014,0.9503486,0.9503112,0.9579548,0.94745785,0.9543067,0.95421433,0.9509612,0.95199203,0.9551889,0.9535044,0.9514244,0.95167154,0.95170045,0.9539654,0.9537326,0.9500095,0.95441526,0.9556686,0.9516438,0.9518577,0.9473596,0.95538044
CD8A,0.9531493,0.94730663,0.95211875,0.9544386,0.95579046,0.9593764,0.95680165,0.95074546,0.95303655,0.9508241,0.9508294,0.9539131,0.954472,1.0000076,0.95849615,0.9516758,0.95707333,0.9503261,0.94904596,0.9495554,0.9560777,0.9487163,0.9502548,0.95807505,0.9497876,0.95258224,0.9537172,0.95128345,0.95034295,0.95016587,0.9548949,0.9565895,0.95050937,0.94940585,0.9515002,0.94869006,0.95096225,0.953222,0.9505381,0.9540143,0.9541818,0.9495576,0.9497208,0.9502197,0.9516342,0.9528787,0.9491181,0.95373565,0.9485607,0.9524207,0.9563892,0.9563374,0.9573965,0.9517325,0.94903326,0.950874,0.95111436,0.9521976,0.957778,0.9565801,0.95420253,0.9521438,0.95303744,0.9562839,0.9533543,0.95128405,0.9527848,0.95199233,0.9543129,0.9521682,0.95307016,0.9515947,0.95506185,0.9584633,0.94905376,0.95180047,0.95392567,0.95292014,0.9520387,0.9507577,0.9577578,0.95603716,0.95098424,0.9499674,0.956554,0.9520143,0.9559328,0.9599887,0.95067996,0.9486746,0.9511891,0.9513788,0.9529108,0.9500631,0.95043325,0.9564527,0.94993514,0.9556774,0.9542218,0.95588565
CDHR5,0.9511508,0.9493669,0.94738173,0.94947207,0.9511337,0.9538057,0.95067906,0.94642663,0.95754004,0.94798195,0.9488748,0.95354295,0.9517159,0.95849615,0.9999937,0.9495825,0.95210993,0.95319927,0.95198876,0.9560765,0.9523673,0.94815725,0.9482838,0.95884,0.9460815,0.9498132,0.95274043,0.949218,0.944646,0.9512392,0.9509522,0.95173,0.950509,0.94638956,0.9506247,0.9459393,0.9551508,0.9504948,0.94987446,0.9539394,0.95083344,0.95355874,0.9480145,0.9478993,0.9482054,0.9486664,0.94949216,0.95345324,0.9473379,0.946519,0.95581675,0.95801353,0.9522329,0.9541208,0.9505682,0.9478659,0.94949573,0.9551584,0.9556916,0.95205903,0.9541117,0.95289004,0.9602509,0.95378655,0.94998074,0.94934386,0.9464301,0.94749576,0.9507234,0.9528628,0.9521295,0.9468271,0.94892347,0.9537131,0.9474294,0.9501418,0.94865286,0.9551663,0.94951963,0.94800913,0.9571173,0.9483436,0.9511,0.9533031,0.95459163,0.9543845,0.9516863,0.95655036,0.9479364,0.94984424,0.95294285,0.95301735,0.9501473,0.94976807,0.94997364,0.9523021,0.94645983,0.9511186,0.9485822,0.95477986
CDK10,0.9508851,0.9533621,0.95329213,0.95517504,0.951983,0.9518995,0.9520556,0.9507685,0.94605577,0.9518372,0.9540209,0.95000273,0.95160866,0.9516758,0.9495825,1.0000055,0.95427877,0.95193404,0.9485506,0.951904,0.95305336,0.94983464,0.94910157,0.94963,0.95471364,0.9560746,0.9528133,0.952788,0.95445466,0.95016694,0.9561193,0.95045793,0.95096755,0.95140296,0.953763,0.9506835,0.9477776,0.95372474,0.94887805,0.94992024,0.94893277,0.948424,0.9519942,0.9557537,0.94944036,0.9534932,0.94795126,0.94745576,0.95181406,0.95575297,0.9489924,0.94821256,0.95261186,0.9518638,0.94980717,0.9559137,0.9508528,0.95014226,0.95222217,0.9519258,0.9515793,0.95388246,0.94794536,0.9529241,0.9509232,0.94940436,0.95389605,0.95666224,0.95499283,0.94943285,0.94990194,0.9550155,0.95723647,0.95373523,0.9493725,0.95047456,0.9546563,0.95132643,0.95407134,0.9555773,0.95433444,0.95510805,0.9511719,0.94878656,0.94976723,0.9505644,0.95136124,0.9551928,0.9520417,0.9490432,0.94988954,0.95375556,0.9496884,0.9530155,0.95339245,0.94966334,0.95139873,0.9521143,0.9509201,0.95110947
CLIC5,0.95819896,0.94834167,0.95052916,0.95262575,0.96258634,0.96290785,0.95198846,0.9494189,0.95063174,0.9497605,0.9443332,0.95245993,0.9502434,0.95707333,0.95210993,0.95427877,1.0000069,0.94752526,0.9464918,0.9502563,0.95112854,0.950185,0.9474801,0.952837,0.9550685,0.95745814,0.94989485,0.953999,0.9491577,0.94852716,0.9619972,0.95727175,0.947561,0.9498188,0.94516635,0.9491595,0.94599295,0.94484246,0.94902223,0.95250356,0.9472804,0.9471681,0.94991493,0.9578454,0.947358,0.95367086,0.9475045,0.9487121,0.9520997,0.960666,0.95002973,0.9564565,0.9554098,0.9499772,0.9471586,0.95037466,0.9481632,0.94613135,0.9562494,0.948213,0.9471946,0.94627875,0.9442614,0.94862366,0.95082676,0.9521537,0.954131,0.95712614,0.9515054,0.94922644,0.95275146,0.95260644,0.9584806,0.94989717,0.9519842,0.950035,0.9515908,0.9458447,0.96159863,0.9602135,0.951191,0.96029365,0.9465399,0.94097674,0.9568381,0.9485959,0.9462066,0.9591047,0.94948065,0.9477297,0.95004904,0.9426744,0.947848,0.95280415,0.9473654,0.9530804,0.9527935,0.9470865,0.9504473,0.9492146
CYB5R1,0.94729745,0.94999295,0.949985,0.9499409,0.9479734,0.9539112,0.9528419,0.95004296,0.95288014,0.949533,0.9533537,0.95127296,0.9543047,0.9503261,0.95319927,0.95193404,0.94752526,1.0000048,0.9542756,0.9548063,0.9504801,0.95105344,0.9539755,0.9538993,0.9469279,0.9479265,0.95518714,0.94781536,0.9511672,0.95298254,0.95058167,0.9484962,0.95341265,0.95224893,0.9533872,0.95077884,0.9536396,0.9542025,0.95519084,0.95238745,0.9511277,0.954092,0.95292735,0.9499058,0.9521079,0.95154816,0.95201933,0.9527987,0.9496396,0.94830275,0.95354164,0.9542366,0.9541157,0.9529959,0.95318675,0.94886297,0.95107245,0.9559907,0.9509302,0.9517144,0.9526135,0.95634305,0.95308834,0.95327604,0.9514797,0.9503486,0.9484272,0.94922775,0.9517855,0.95526844,0.9500432,0.9511886,0.9487317,0.955356,0.9501553,0.94922024,0.9490106,0.9550529,0.94803405,0.94890726,0.95619893,0.9492812,0.95344347,0.9523376,0.9527485,0.9536965,0.9524534,0.95068717,0.9507097,0.951787,0.95478,0.9566793,0.9529938,0.9492005,0.95431983,0.95441836,0.948188,0.9514737,0.9500915,0.9554672
CYP20A1,0.9485006,0.9494933,0.94999766,0.94838184,0.9476493,0.9475827,0.94949675,0.9478437,0.9495709,0.94926167,0.95202714,0.95084864,0.9522734,0.94904596,0.95198876,0.9485506,0.9464918,0.9542756,1.0000051,0.9518477,0.95007044,0.95010865,0.9529041,0.9508916,0.94819874,0.94811666,0.9495893,0.9484291,0.94958395,0.95542014,0.9480344,0.9479031,0.9495845,0.9492159,0.95099854,0.9493003,0.9512041,0.9503379,0.9511262,0.9507505,0.9503604,0.9559197,0.9528501,0.9478488,0.9528813,0.948564,0.9544488,0.9506062,0.94797707,0.94814426,0.95131004,0.9493165,0.9490924,0.95014,0.95410395,0.9493595,0.9521481,0.95256823,0.94984496,0.94857883,0.949878,0.9520986,0.9518147,0.9523763,0.94965255,0.9524723,0.94737864,0.94787395,0.9510647,0.9523245,0.9500421,0.9483104,0.94739336,0.95033383,0.94870967,0.95000434,0.9497426,0.95298356,0.94837135,0.94753706,0.94934565,0.9470802,0.9541004,0.952639,0.9480332,0.951923,0.95219356,0.94869316,0.94946635,0.95429194,0.95369804,0.9518616,0.95257026,0.9494855,0.951586,0.95138115,0.950079,0.9501491,0.948362,0.95107543
DMRT1,0.952742,0.9486472,0.94729203,0.9476917,0.94942874,0.9515507,0.9529674,0.9399827,0.9474307,0.94238484,0.95234716,0.95289475,0.95368266,0.9495554,0.9560765,0.951904,0.9502563,0.9548063,0.9518477,1.000012,0.9494176,0.9482654,0.9470906,0.955809,0.9496266,0.9527119,0.95218635,0.9489073,0.94754946,0.95186937,0.95160896,0.9471415,0.9459774,0.9424922,0.95518214,0.9428091,0.9465377,0.95405114,0.9497621,0.95195746,0.95311403,0.95322996,0.95078695,0.948804,0.9485183,0.94691426,0.9482242,0.946975,0.9448054,0.95160466,0.9526842,0.9519998,0.9506801,0.94893503,0.9511608,0.9490071,0.9483929,0.95279264,0.9587325,0.9450603,0.94660044,0.95441604,0.9563697,0.95288616,0.9465739,0.9508176,0.9473145,0.9489467,0.9534554,0.9524773,0.95684993,0.9512241,0.9492613,0.95506704,0.9421123,0.945122,0.94776607,0.95356774,0.952333,0.95156336,0.95662653,0.94637054,0.95161134,0.95197034,0.9467604,0.95398176,0.9500909,0.95351183,0.95003647,0.9502715,0.9490913,0.9520139,0.9499242,0.9506351,0.954859,0.9513877,0.94826066,0.94622505,0.94396967,0.9543258
