,AK3,ATF7IP2,ATP10D,ATP6V1E2,ATXN7L3,BACH2,BBS10,BEND3,BHLHE40,BTLA,CA1,CCNB1,CCPG1,CD8A,CDHR5,CDK10,CLIC5,CYB5R1,CYP20A1,DMRT1,DPF3,DST,EHF,EHMT1,ELOF1,FAM208A,FAM229B,HDHD3,HES5,HIST1H4I,HOXA1,HSPH1,IL17F,KCNIP2,KDELR2,KDM6A,KLF13,KLRG1,KRTCAP2,LCMT2,LRP6,LRRC37A3,LRTOMT,LY96,LYST,MAP7D1,MAPK8,MBOAT2,MCTS1,MED19,MGA,MICA,MOSMO,MT3,NDST1,NNAT,ORM2,P3H3,PEX10,PIP,POU2F3,RAB30,RAMP1,RASD2,RCBTB1,RFX5,RPL26L1,RPS6KA1,S100P,SAMHD1,SENP5,SFXN4,SH2D2A,SH3KBP1,SIKE1,SIT1,SLC25A33,SPATA2,SYNE1,TESPA1,THYN1,TMEM229B,TMEM25,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,YWHAG,ZDHHC5,ZFHX4,ZFP14,ZNF10,ZNF138,ZNF235,ZNF473,ZNF483,ZNF534,ZNF687,ZNF880
DPF3,0.9541395,0.95229626,0.95221996,0.9545366,0.9499263,0.9488565,0.95416206,0.95446676,0.94878787,0.95223856,0.9534698,0.9539134,0.95090276,0.9560777,0.9523673,0.95305336,0.95112854,0.9504801,0.95007044,0.9494176,1.0000112,0.9503262,0.95434093,0.9481801,0.9498188,0.9549346,0.9520783,0.95438087,0.9558618,0.9509378,0.9504118,0.9524473,0.9528102,0.95283747,0.95317566,0.95097756,0.9508697,0.9515971,0.9523412,0.9478918,0.9501461,0.94877213,0.94962806,0.9507488,0.9511053,0.9528441,0.95102483,0.95056266,0.95244443,0.9519542,0.9495486,0.9470352,0.9529619,0.9540074,0.94927347,0.955023,0.95429397,0.95143414,0.9506954,0.95765615,0.9568571,0.9524064,0.95007277,0.95339334,0.95574313,0.9504227,0.952064,0.9519534,0.95276815,0.9517791,0.948403,0.94979584,0.9548357,0.9517315,0.9517555,0.9544653,0.9551861,0.95322883,0.95031583,0.95027196,0.95173186,0.95240885,0.95426846,0.9504405,0.9523401,0.9516194,0.95482516,0.95327014,0.9527514,0.95055205,0.95053595,0.9527167,0.9530833,0.95140356,0.9514515,0.95335966,0.9496564,0.9543966,0.9544884,0.9544019
DST,0.9538067,0.95001125,0.95034516,0.9518803,0.9498983,0.9531622,0.9482801,0.95531005,0.9520877,0.9552086,0.9477751,0.9511212,0.94916606,0.9487163,0.94815725,0.94983464,0.950185,0.95105344,0.95010865,0.9482654,0.9503262,1.0000095,0.95094955,0.9469689,0.9488349,0.94988537,0.9483442,0.94869584,0.9519992,0.9489541,0.95055974,0.9522239,0.95297366,0.9567121,0.94771343,0.95311147,0.9511092,0.94737035,0.9517011,0.94979584,0.94684285,0.9514783,0.94979984,0.94922996,0.9513358,0.9539231,0.95081955,0.95104635,0.9561791,0.9488952,0.9514652,0.95181286,0.95132124,0.951113,0.95146286,0.9495905,0.9501561,0.94994414,0.9489864,0.9529959,0.95237213,0.94870514,0.94834673,0.9493472,0.9546671,0.95131916,0.9515407,0.9500236,0.95008796,0.95090073,0.94379807,0.9495272,0.9516407,0.9461548,0.95598453,0.95309573,0.95121086,0.94826436,0.9502175,0.9481459,0.94638956,0.9510573,0.950321,0.94948554,0.9558817,0.9466892,0.94900066,0.95004255,0.9538015,0.94893324,0.9509351,0.95077366,0.9494318,0.9495895,0.9489765,0.951475,0.95079637,0.95140105,0.95433617,0.9502523
EHF,0.9477208,0.95048374,0.95304835,0.95267296,0.9492369,0.94832695,0.9512177,0.95315504,0.94907016,0.95068467,0.95355403,0.9501794,0.9514556,0.9502548,0.9482838,0.94910157,0.9474801,0.9539755,0.9529041,0.9470906,0.95434093,0.95094955,1.0000013,0.94876623,0.9479938,0.9487218,0.9494909,0.9504875,0.9542917,0.9534358,0.9482006,0.94851094,0.9524643,0.95205915,0.95157933,0.9513981,0.95333284,0.95196664,0.953665,0.94995457,0.9504308,0.9527937,0.9521001,0.9498569,0.9518841,0.9503046,0.95302147,0.9524387,0.9508514,0.9490847,0.95031035,0.9481377,0.94939715,0.9514233,0.9517852,0.9511986,0.9551028,0.9539021,0.9487017,0.95267606,0.95334935,0.9534565,0.95025295,0.95275146,0.95365,0.9524032,0.95246273,0.95057935,0.95069885,0.9527474,0.950107,0.95212984,0.94831747,0.95122087,0.9517437,0.95251954,0.9526192,0.95400554,0.94764876,0.9480653,0.94946593,0.95022947,0.9526631,0.95094025,0.9505414,0.95139,0.95500785,0.9477346,0.95149803,0.9525751,0.9535733,0.95047903,0.9552149,0.94927233,0.9514103,0.95152074,0.9521041,0.9549056,0.9531907,0.9510885
EHMT1,0.95152515,0.94512165,0.94981915,0.94595546,0.9532664,0.95748496,0.95276093,0.94052404,0.95228666,0.9425314,0.9487298,0.95182425,0.9555424,0.95807505,0.95884,0.94963,0.952837,0.9538993,0.9508916,0.955809,0.9481801,0.9469689,0.94876623,0.99999964,0.9478322,0.9504838,0.95329034,0.9495155,0.9457847,0.94999003,0.9522178,0.9506749,0.9443085,0.9415204,0.9516956,0.94225293,0.9489009,0.95344347,0.9505247,0.9581056,0.9546352,0.9532635,0.95059276,0.9507263,0.9482263,0.9481521,0.94952023,0.9481101,0.9418582,0.95004946,0.954055,0.95681095,0.95301104,0.9488543,0.951501,0.9483688,0.9469222,0.9554984,0.95827615,0.94723004,0.9468094,0.95166916,0.95801026,0.95114255,0.9465043,0.94983137,0.94804645,0.9484137,0.95261174,0.9538628,0.9588303,0.9520992,0.9465614,0.96048117,0.9409599,0.94505745,0.9483624,0.95142174,0.94973683,0.94949186,0.95634884,0.94799066,0.94868904,0.95158577,0.9520924,0.95364714,0.95432967,0.9546282,0.9479618,0.9494849,0.95028275,0.9491608,0.95057863,0.949545,0.94941473,0.95196944,0.94933057,0.94692725,0.9453077,0.9557447
ELOF1,0.9531098,0.9503183,0.9514249,0.950951,0.95775306,0.95263666,0.9499462,0.95010406,0.9442844,0.94909704,0.9506875,0.9498595,0.9496899,0.9497876,0.9460815,0.95471364,0.9550685,0.9469279,0.94819874,0.9496266,0.9498188,0.9488349,0.9479938,0.9478322,1.000008,0.9581736,0.94916457,0.9545184,0.95360523,0.94780827,0.9560318,0.94793975,0.94906247,0.94949543,0.9506776,0.9499837,0.9440586,0.95086914,0.94723797,0.9480685,0.94892853,0.9451994,0.9501732,0.95379114,0.94814825,0.95187044,0.94763666,0.9444621,0.9498112,0.95760244,0.94874746,0.9458276,0.9510004,0.9485389,0.947493,0.95513374,0.95023125,0.94660264,0.95000476,0.9507654,0.94704473,0.9503605,0.94393265,0.9490093,0.9488675,0.9489216,0.95437616,0.95290494,0.95480853,0.94657505,0.95089155,0.9553751,0.95582396,0.9508837,0.947284,0.9497177,0.95458114,0.9467074,0.9552482,0.95938456,0.94896036,0.95267016,0.9480542,0.94631076,0.94775283,0.9485982,0.9509281,0.95418483,0.95087653,0.9481549,0.94757134,0.9481026,0.94869184,0.9561647,0.94886607,0.9482298,0.9520818,0.94909143,0.94926715,0.9478058
FAM208A,0.9593821,0.9529309,0.95191675,0.95288664,0.9572434,0.9517514,0.95277166,0.94890976,0.94411945,0.9493468,0.95212436,0.95522,0.9522781,0.95258224,0.9498132,0.9560746,0.95745814,0.9479265,0.94811666,0.9527119,0.9549346,0.94988537,0.9487218,0.9504838,0.9581736,0.999998,0.9509618,0.9614391,0.9518151,0.94916934,0.9572686,0.9498547,0.9482318,0.94781804,0.9532715,0.94664377,0.9418033,0.95049673,0.94763756,0.94494134,0.9492782,0.94805276,0.9513111,0.95565724,0.9493844,0.9513034,0.94811153,0.94336444,0.9512859,0.9621512,0.95053065,0.94675654,0.9539578,0.9489802,0.9490236,0.9584237,0.9516198,0.94710946,0.9546974,0.9541902,0.9498204,0.9523005,0.94630885,0.9507445,0.94942594,0.9485686,0.9525056,0.9539909,0.9571039,0.9487682,0.953792,0.95329493,0.9637959,0.9507751,0.9467049,0.9505697,0.9561402,0.94970953,0.9594178,0.96364033,0.9508016,0.95220923,0.9514165,0.9453999,0.94758224,0.94973254,0.9535959,0.9591495,0.95327985,0.9487159,0.94760746,0.9509752,0.9500288,0.9575938,0.9504,0.951707,0.950554,0.9477304,0.94907683,0.95249045
FAM229B,0.9491564,0.9506654,0.9535923,0.95144796,0.9456067,0.9521551,0.9560382,0.9487174,0.9509463,0.9495453,0.95716643,0.95244956,0.95778275,0.9537172,0.95274043,0.9528133,0.94989485,0.95518714,0.9495893,0.95218635,0.9520783,0.9483442,0.9494909,0.95329034,0.94916457,0.9509618,1.0000113,0.9489012,0.9515416,0.94946957,0.95178276,0.94790834,0.9505339,0.9503381,0.9549135,0.9487816,0.95437515,0.954482,0.9507579,0.9498907,0.9596399,0.9491776,0.9485235,0.94776696,0.9504383,0.9518605,0.9511584,0.95219946,0.9489051,0.95031047,0.95115566,0.9478056,0.9560408,0.9547399,0.95191664,0.94917595,0.95198375,0.9507632,0.9540489,0.9551919,0.9499244,0.9547365,0.95061725,0.95413935,0.9501786,0.9503531,0.9500931,0.95112526,0.95279926,0.9549517,0.9520378,0.9511341,0.9551622,0.95874125,0.9468077,0.9504162,0.9528304,0.952361,0.950225,0.9497563,0.9592528,0.9493247,0.95316,0.95840865,0.9536797,0.9496141,0.9526927,0.95289177,0.94951886,0.95090795,0.95191807,0.9543066,0.95399463,0.94899124,0.9545908,0.9545338,0.95026976,0.95525044,0.94837934,0.9527314
HDHD3,0.95229053,0.9511021,0.94996214,0.9538559,0.9518688,0.9472309,0.95085204,0.9497983,0.94192046,0.94863766,0.95266354,0.9503198,0.9500911,0.95128345,0.949218,0.952788,0.953999,0.94781536,0.9484291,0.9489073,0.95438087,0.94869584,0.9504875,0.9495155,0.9545184,0.9614391,0.9489012,1.0000055,0.952891,0.9482369,0.9537432,0.9496566,0.94956434,0.9481374,0.95189744,0.9481046,0.94425315,0.9538573,0.94702387,0.9463603,0.94851226,0.9460565,0.9517665,0.95675695,0.9510526,0.94933194,0.9482312,0.94194543,0.95013183,0.96159124,0.9501601,0.94484514,0.9473833,0.9480939,0.94866663,0.9606717,0.95238227,0.94997823,0.94944185,0.95308447,0.95136607,0.9526099,0.9467094,0.95110047,0.9499782,0.9510283,0.95514256,0.9552274,0.95351505,0.94847345,0.95215786,0.9526569,0.95751494,0.95077544,0.94727725,0.9504406,0.95508754,0.9511325,0.9553048,0.963153,0.9505101,0.95260286,0.9503246,0.9453084,0.94644713,0.95019436,0.9542244,0.9535961,0.95146894,0.949228,0.9475657,0.9492927,0.9528415,0.9559403,0.9504149,0.9482354,0.94990057,0.9509942,0.95071334,0.9503095
HES5,0.9520628,0.94997597,0.95630354,0.9567294,0.9505938,0.9494423,0.95372444,0.9581639,0.94668067,0.9534525,0.95341957,0.94820946,0.9503532,0.95034295,0.944646,0.95445466,0.9491577,0.9511672,0.94958395,0.94754946,0.9558618,0.9519992,0.9542917,0.9457847,0.95360523,0.9518151,0.9515416,0.952891,1.0,0.9497685,0.9518548,0.9518105,0.95475984,0.9578385,0.95314765,0.95383596,0.9507431,0.9549172,0.9514189,0.94548744,0.9495188,0.9464037,0.95333064,0.9500899,0.951814,0.95579445,0.9501236,0.9492249,0.95435643,0.9537956,0.9489051,0.9428112,0.9516789,0.9520398,0.950558,0.95641387,0.952349,0.9495406,0.94793814,0.9568583,0.9579303,0.9547982,0.9460347,0.9512949,0.9552784,0.95201313,0.9551995,0.95542,0.95366144,0.9503339,0.94745994,0.9539989,0.95418847,0.95106596,0.95407844,0.9538809,0.95730805,0.9495971,0.9501466,0.951608,0.95135593,0.95500803,0.95142245,0.9495114,0.95146966,0.9483844,0.9535798,0.95010716,0.9526174,0.95034844,0.94977856,0.95469,0.95557225,0.951828,0.952881,0.95066833,0.95328254,0.9562211,0.95690197,0.95144093
HIST1H4I,0.9476119,0.95037276,0.948911,0.94973075,0.9497347,0.9490271,0.94763166,0.94937724,0.9502724,0.94951385,0.9522764,0.9517611,0.95112205,0.95016587,0.9512392,0.95016694,0.94852716,0.95298254,0.95542014,0.95186937,0.9509378,0.9489541,0.9534358,0.94999003,0.94780827,0.94916934,0.94946957,0.9482369,0.9497685,0.9999975,0.94785506,0.9492929,0.9504693,0.949821,0.9513211,0.94960517,0.9518609,0.95007277,0.95103604,0.9521872,0.9499349,0.95498616,0.9520259,0.94799906,0.952186,0.94892377,0.9542933,0.9518602,0.9488922,0.9476249,0.95046103,0.9514879,0.94990313,0.9515405,0.95355815,0.94921684,0.9533502,0.9525679,0.9511311,0.9484276,0.94972235,0.951499,0.95129514,0.95173264,0.94995785,0.95296866,0.94936156,0.94877905,0.95017064,0.9518663,0.9494126,0.9500098,0.94786125,0.9509948,0.95033276,0.9501667,0.9495139,0.9528911,0.94864523,0.9475939,0.95121074,0.95030737,0.95408636,0.95154667,0.9489465,0.9525903,0.95109254,0.9488449,0.9495426,0.9528372,0.9542658,0.9508539,0.95172775,0.9485009,0.9524769,0.95093745,0.95033,0.9511014,0.94999826,0.9509503
HOXA1,0.95490724,0.94973814,0.9526539,0.952528,0.9567563,0.96020275,0.9536844,0.95094347,0.95101106,0.9493558,0.9486018,0.94988143,0.950438,0.9548949,0.9509522,0.9561193,0.9619972,0.95058167,0.9480344,0.95160896,0.9504118,0.95055974,0.9482006,0.9522178,0.9560318,0.9572686,0.95178276,0.9537432,0.9518548,0.94785506,0.9999957,0.9520735,0.9489676,0.9502296,0.94835895,0.9511913,0.9472225,0.95000637,0.9491399,0.9530449,0.9505144,0.94879824,0.94985664,0.9586801,0.94835687,0.9545239,0.9488854,0.9499526,0.9498679,0.96198344,0.9515381,0.9548297,0.9542817,0.95059973,0.9496796,0.9544311,0.95024717,0.94868726,0.9536725,0.948752,0.9488239,0.9513334,0.9442453,0.9497858,0.9512149,0.951419,0.9553362,0.9552832,0.9554198,0.9510366,0.9541997,0.9527688,0.957341,0.9522709,0.95003885,0.9497067,0.95326006,0.9482926,0.958029,0.96357465,0.9520567,0.9551547,0.94767684,0.946898,0.9562859,0.94878733,0.9503149,0.95646906,0.94969255,0.9489186,0.9503824,0.9490148,0.95022285,0.9528401,0.9489011,0.953021,0.95144296,0.95062256,0.9498646,0.9512446
HSPH1,0.9564499,0.9494349,0.9499446,0.95388806,0.9557253,0.9583406,0.95163655,0.95484173,0.95684755,0.95462036,0.944654,0.9526165,0.94854516,0.9565895,0.95173,0.95045793,0.95727175,0.9484962,0.9479031,0.9471415,0.9524473,0.9522239,0.94851094,0.9506749,0.94793975,0.9498547,0.94790834,0.9496566,0.9518105,0.9492929,0.9520735,0.99999946,0.950922,0.9560843,0.94304675,0.95130754,0.9529648,0.9424687,0.95208526,0.94784456,0.9468029,0.94811964,0.9484876,0.9507421,0.9487153,0.954713,0.9494875,0.9528147,0.9541512,0.95153415,0.9510112,0.9580912,0.9541548,0.95521694,0.94729435,0.94521713,0.9501832,0.9480341,0.9515766,0.9544246,0.95225966,0.9459439,0.9500499,0.9494765,0.9544505,0.9499552,0.9491699,0.9524166,0.94818336,0.9496235,0.9480243,0.94869107,0.95120883,0.9455537,0.9599243,0.95403504,0.94872016,0.9472192,0.95058805,0.9488399,0.95083004,0.96357125,0.94857043,0.9481356,0.9596592,0.94804627,0.94452953,0.9557753,0.94826454,0.94800305,0.9510839,0.94947964,0.9480927,0.9497497,0.94658464,0.9523022,0.9499973,0.95050544,0.9552716,0.95196027
IL17F,0.9504875,0.95148724,0.9510886,0.9547729,0.9475908,0.9483716,0.9501252,0.9614828,0.95447695,0.96044254,0.9501335,0.9483375,0.9484055,0.95050937,0.950509,0.95096755,0.947561,0.95341265,0.9495845,0.9459774,0.9528102,0.95297366,0.9524643,0.9443085,0.94906247,0.9482318,0.9505339,0.94956434,0.95475984,0.9504693,0.9489676,0.950922,0.9999972,0.96396816,0.95098484,0.9565561,0.9572799,0.94943833,0.95261145,0.94560444,0.94654375,0.9491281,0.95036834,0.9485503,0.9516809,0.9562973,0.9496965,0.95443106,0.9598873,0.9462284,0.95109326,0.9491865,0.953874,0.9561014,0.94999254,0.9508125,0.95333487,0.9516291,0.9438457,0.96257704,0.9631069,0.951956,0.94864017,0.95035493,0.95436436,0.94887227,0.94928813,0.95041776,0.95011914,0.9493771,0.94031405,0.9504602,0.95260197,0.94488174,0.95930743,0.9560897,0.9523649,0.95157564,0.946748,0.9471732,0.94914347,0.9517096,0.95293367,0.95025855,0.956297,0.9499288,0.9502627,0.9496457,0.952571,0.94941604,0.9529744,0.95586294,0.952299,0.9490751,0.9498102,0.95092416,0.949407,0.9562475,0.958156,0.9512166
KCNIP2,0.95102507,0.95206606,0.9519379,0.9567755,0.9497273,0.9534719,0.9523725,0.96811795,0.9556819,0.9641025,0.94809675,0.94848084,0.9483321,0.94940585,0.94638956,0.95140296,0.9498188,0.95224893,0.9492159,0.9424922,0.95283747,0.9567121,0.95205915,0.9415204,0.94949543,0.94781804,0.9503381,0.9481374,0.9578385,0.949821,0.9502296,0.9560843,0.96396816,1.0000111,0.9480073,0.96045727,0.95783347,0.94687605,0.95515525,0.9453306,0.9448235,0.9479829,0.9497045,0.94994885,0.9520365,0.9606892,0.94975346,0.95652205,0.9678969,0.94941765,0.94927835,0.95182407,0.9566355,0.9553089,0.94857585,0.9490684,0.95205486,0.9494469,0.9407114,0.96327543,0.9594535,0.94901764,0.9441876,0.94846505,0.95626205,0.9504408,0.95000744,0.95142436,0.94748545,0.9493365,0.93882114,0.9493208,0.9533814,0.9424155,0.96460176,0.95819575,0.9535552,0.94884706,0.9487931,0.9480087,0.9483887,0.95610297,0.9513213,0.94774693,0.96218204,0.94602406,0.9472033,0.9499755,0.9519247,0.9485954,0.9544564,0.95402664,0.951237,0.9499318,0.9480687,0.951286,0.95108324,0.9561094,0.9615896,0.9497067
KDELR2,0.94650376,0.95353615,0.9521095,0.95177907,0.94754475,0.9445294,0.9528043,0.9456029,0.94405997,0.94736874,0.9621452,0.9497351,0.95476675,0.9515002,0.9506247,0.953763,0.94516635,0.9533872,0.95099854,0.95518214,0.95317566,0.94771343,0.95157933,0.9516956,0.9506776,0.9532715,0.9549135,0.95189744,0.95314765,0.9513211,0.94835895,0.94304675,0.95098484,0.9480073,0.9999873,0.9478831,0.9495572,0.9639164,0.94969326,0.9491524,0.9535129,0.9502111,0.9526397,0.9482595,0.9506471,0.9494908,0.9507752,0.94791734,0.9462887,0.94987136,0.9517794,0.9426384,0.94857544,0.95195127,0.9503359,0.95466983,0.951445,0.9533423,0.95322776,0.95305383,0.951833,0.9607196,0.9515376,0.9566783,0.94859415,0.94931126,0.9518237,0.9511819,0.95641583,0.95031524,0.95264,0.95344025,0.9516143,0.95833963,0.943515,0.94997007,0.9545861,0.9556183,0.94892204,0.95072496,0.9581575,0.94809955,0.9545956,0.95337987,0.94261074,0.9552174,0.9571011,0.9519701,0.9509905,0.9515779,0.948887,0.9562902,0.95367193,0.9506724,0.9577996,0.9493382,0.9497916,0.95338047,0.94963014,0.953776
KDM6A,0.94743896,0.9526145,0.9528853,0.954069,0.9480734,0.95316887,0.9510815,0.9603518,0.9556535,0.95788103,0.94715863,0.95032233,0.94766057,0.94869006,0.9459393,0.9506835,0.9491595,0.95077884,0.9493003,0.9428091,0.95097756,0.95311147,0.9513981,0.94225293,0.9499837,0.94664377,0.9487816,0.9481046,0.95383596,0.94960517,0.9511913,0.95130754,0.9565561,0.96045727,0.9478831,0.9999863,0.9564129,0.9425313,0.9553959,0.9482247,0.94565904,0.9476049,0.94863313,0.9500246,0.95105183,0.9564774,0.9491062,0.95918906,0.95875347,0.9474366,0.95036715,0.95450115,0.9523111,0.95260435,0.9490248,0.94804215,0.94984376,0.9489752,0.9425881,0.95378524,0.95754683,0.94703555,0.9467394,0.9477226,0.957026,0.94665486,0.9501031,0.9484339,0.9489629,0.9491627,0.94151604,0.9470168,0.9506181,0.9453157,0.96195745,0.95373917,0.9473897,0.9492193,0.9494544,0.9479432,0.9501807,0.9528667,0.9494505,0.9477396,0.95655894,0.94738793,0.94538665,0.9447316,0.95226365,0.9484279,0.95349777,0.95280284,0.94691133,0.94915414,0.9475317,0.94953305,0.95115805,0.95271385,0.9565965,0.9480264
KLF13,0.94619924,0.9499811,0.9506094,0.95062387,0.9464302,0.94934756,0.9520864,0.95544285,0.95933187,0.95526,0.9482784,0.94807386,0.9495613,0.95096225,0.9551508,0.9477776,0.94599295,0.9536396,0.9512041,0.9465377,0.9508697,0.9511092,0.95333284,0.9489009,0.9440586,0.9418033,0.95437515,0.94425315,0.9507431,0.9518609,0.9472225,0.9529648,0.9572799,0.95783347,0.9495572,0.9564129,1.000012,0.94823945,0.95601165,0.9511523,0.9514315,0.952085,0.949119,0.947607,0.95016026,0.95331395,0.95214665,0.96180683,0.9543215,0.94143647,0.9510473,0.95495206,0.95147866,0.9548858,0.9513265,0.9458301,0.95029736,0.9544305,0.94528407,0.95577323,0.9567566,0.95064473,0.9532673,0.9526668,0.9536103,0.9496184,0.94758403,0.94636273,0.9469974,0.95233816,0.94596004,0.94575393,0.9444012,0.9470701,0.9570161,0.9535899,0.9479507,0.9517931,0.94320804,0.94137406,0.95170486,0.9493104,0.9530022,0.95617306,0.9587065,0.9492462,0.9497949,0.94491017,0.94834197,0.95083964,0.95484495,0.9537554,0.9504057,0.948014,0.94939166,0.95094794,0.948618,0.9566782,0.9542941,0.9513088
KLRG1,0.94663656,0.9502762,0.9507769,0.9518388,0.94742095,0.9442024,0.955127,0.9470692,0.9413594,0.94456553,0.9599793,0.9461608,0.9549811,0.953222,0.9504948,0.95372474,0.94484246,0.9542025,0.9503379,0.95405114,0.9515971,0.94737035,0.95196664,0.95344347,0.95086914,0.95049673,0.954482,0.9538573,0.9549172,0.95007277,0.95000637,0.9424687,0.94943833,0.94687605,0.9639164,0.9425313,0.94823945,0.99999785,0.94650114,0.9491218,0.9561531,0.94895583,0.9518984,0.95013916,0.95157427,0.94901544,0.94968957,0.94497967,0.94492877,0.9513964,0.94975054,0.9404684,0.94865036,0.9499814,0.9515275,0.95597595,0.9515792,0.9539856,0.9504893,0.95501626,0.9520311,0.9626213,0.95128965,0.95371807,0.94743055,0.9536805,0.9528405,0.9535769,0.954484,0.9509773,0.95360434,0.954931,0.94926894,0.96254337,0.93953776,0.94769967,0.95539725,0.9541123,0.94885993,0.9515191,0.9572331,0.94815254,0.95352036,0.954399,0.9444629,0.9540587,0.96370953,0.95131534,0.9504433,0.9510222,0.9480195,0.95406973,0.9573924,0.949744,0.9560526,0.9492111,0.95073193,0.9557084,0.94859374,0.95238227
KRTCAP2,0.9491073,0.9487425,0.9517574,0.9490453,0.94932353,0.9536941,0.9527586,0.95375973,0.95494884,0.9530247,0.9488806,0.9520771,0.9526805,0.9505381,0.94987446,0.94887805,0.94902223,0.95519084,0.9511262,0.9497621,0.9523412,0.9517011,0.953665,0.9505247,0.94723797,0.94763756,0.9507579,0.94702387,0.9514189,0.95103604,0.9491399,0.95208526,0.95261145,0.95515525,0.94969326,0.9553959,0.95601165,0.94650114,0.9999899,0.95245564,0.9497184,0.9520478,0.9504917,0.94835556,0.95072335,0.95324975,0.9521287,0.95612204,0.9535903,0.9469799,0.9528773,0.95557463,0.95234036,0.9518812,0.9525355,0.9471378,0.95045894,0.9549555,0.9465849,0.9517101,0.9531444,0.9494064,0.95146286,0.9517553,0.95507574,0.9483403,0.94854647,0.94589186,0.94938695,0.9532452,0.94646454,0.9488293,0.94750136,0.94826376,0.9555477,0.9511815,0.94812614,0.9531132,0.94807905,0.94697267,0.95064074,0.9495897,0.9515971,0.95015335,0.9564156,0.9509409,0.94972986,0.94704586,0.950785,0.95023596,0.9531031,0.9521492,0.9492824,0.9491442,0.95026183,0.95393705,0.9513869,0.9513,0.95317924,0.9541042
LCMT2,0.9430893,0.9492884,0.9494909,0.9459159,0.9522936,0.95635545,0.9455477,0.94450396,0.95441633,0.9475872,0.94792193,0.9474843,0.9499349,0.9540143,0.9539394,0.94992024,0.95250356,0.95238745,0.9507505,0.95195746,0.9478918,0.94979584,0.94995457,0.9581056,0.9480685,0.94494134,0.9498907,0.9463603,0.94548744,0.9521872,0.9530449,0.94784456,0.94560444,0.9453306,0.9491524,0.9482247,0.9511523,0.9491218,0.95245564,1.0000017,0.95010126,0.95332485,0.94988286,0.94996023,0.94896907,0.94816834,0.95090157,0.95498353,0.94397104,0.94617164,0.95173466,0.96238095,0.94741815,0.94996834,0.9503244,0.94690174,0.94438523,0.9549359,0.9518316,0.9405421,0.94521534,0.94947207,0.9546577,0.95200133,0.9454559,0.94927573,0.9497603,0.9490949,0.9484819,0.9511441,0.950951,0.95057803,0.9437535,0.9558631,0.94701815,0.94624466,0.9475914,0.9497113,0.9495663,0.94782114,0.95296156,0.94904256,0.9447068,0.95087296,0.9533634,0.9538277,0.9505853,0.94982445,0.9480882,0.9495839,0.9523714,0.9491801,0.9483119,0.9498429,0.9502163,0.9501259,0.9485631,0.9500927,0.94745153,0.9521347
LRP6,0.9494063,0.94750655,0.95183647,0.94831645,0.94621015,0.94918513,0.95942086,0.94569343,0.9467096,0.94394356,0.95421976,0.9511763,0.95772225,0.9541818,0.95083344,0.94893277,0.9472804,0.9511277,0.9503604,0.95311403,0.9501461,0.94684285,0.9504308,0.9546352,0.94892853,0.9492782,0.9596399,0.94851226,0.9495188,0.9499349,0.9505144,0.9468029,0.94654375,0.9448235,0.9535129,0.94565904,0.9514315,0.9561531,0.9497184,0.95010126,1.0000097,0.9491929,0.9495221,0.94605297,0.95031923,0.9491063,0.95060897,0.9480419,0.9425885,0.95023566,0.9509498,0.94580126,0.9507364,0.9494755,0.95130986,0.9492178,0.9521834,0.95160115,0.9509227,0.951857,0.9480308,0.9543422,0.95307565,0.95260954,0.949462,0.9516474,0.94979846,0.9488628,0.95152706,0.95436305,0.95750135,0.95155954,0.9494934,0.9564153,0.94194925,0.95043856,0.95147043,0.95097125,0.94772005,0.9507971,0.9542099,0.9445679,0.9513564,0.9603284,0.9491354,0.94976044,0.95477974,0.9514534,0.9457643,0.9505748,0.950189,0.95067215,0.9538928,0.9455937,0.9526886,0.9515399,0.950994,0.9526443,0.94639647,0.95158845
LRRC37A3,0.94872606,0.9491206,0.9476428,0.94772476,0.94816077,0.9490975,0.9484257,0.9473903,0.9519444,0.9493981,0.95128554,0.9517879,0.9521297,0.9495576,0.95355874,0.948424,0.9471681,0.954092,0.9559197,0.95322996,0.94877213,0.9514783,0.9527937,0.9532635,0.9451994,0.94805276,0.9491776,0.9460565,0.9464037,0.95498616,0.94879824,0.94811964,0.9491281,0.9479829,0.9502111,0.9476049,0.952085,0.94895583,0.9520478,0.95332485,0.9491929,0.99998766,0.95252645,0.9474359,0.9517555,0.94863397,0.9529358,0.952968,0.94747674,0.94482845,0.95241904,0.95339996,0.94914377,0.9509635,0.9537759,0.9475711,0.9520266,0.95363814,0.95093924,0.9472453,0.9503137,0.95025796,0.95542514,0.95206445,0.9497113,0.9526894,0.9479247,0.9459779,0.9493866,0.9530443,0.94987226,0.94843364,0.9463631,0.9506943,0.948637,0.94881624,0.9482387,0.95191085,0.9476127,0.9437424,0.95093,0.94711953,0.95335376,0.9520881,0.94980395,0.95358515,0.9502572,0.9485999,0.949033,0.9519126,0.95379186,0.9509432,0.95116824,0.9486733,0.95089996,0.95272815,0.94760394,0.94896,0.9487147,0.9525321
