,AK3,ATF7IP2,ATP10D,ATXN7L3,BBS10,BEND3,BHLHE40,BNIP3L,BTLA,C11orf1,C12orf76,CA1,CCNB1,CCPG1,CD8A,CDHR5,CDK10,CLIC5,CYB5R1,CYP20A1,DMRT1,DPF3,DST,DTX1,EHF,EHMT1,ELOF1,FAHD1,FAM208A,FAM229B,FSD1,GLI3,HDHD3,HIST1H4I,HSPA4,HSPH1,IL17F,KCNIP2,KDELR2,KDM6A,KLF13,KLHL17,KLRG1,KRTCAP2,LRP6,LRRC37A3,LRTOMT,LY96,LYST,LZTS1,MAP3K9,MAP7D1,MAP7D3,MAPK8,MBOAT2,MGA,MOSMO,NNAT,ORM2,P3H3,PEX10,PIP,POU2F3,RAB30,RAMP1,RASD2,RCBTB1,RETN,RFX5,RNH1,RPL26L1,RPS6KA1,RYK,S100P,SAMHD1,SH2D2A,SH3KBP1,SIKE1,SIT1,SLC25A33,SLC25A4,SOX15,SPATA2,SUMF1,SYNE1,TCEAL1,TESPA1,THYN1,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,TWIST1,ZDHHC5,ZFP14,ZGLP1,ZNF138,ZNF687,ZNF880
DMRT1,0.9527217,0.9487778,0.9467867,0.94824755,0.9485171,0.9420344,0.95012915,0.94748914,0.9452843,0.9518185,0.9509625,0.9482675,0.95488226,0.95554626,0.94749415,0.952233,0.95430326,0.9463598,0.95526075,0.9524977,1.0000079,0.9519073,0.9496236,0.9457489,0.9495788,0.9535168,0.9464299,0.95208627,0.9527281,0.9490538,0.94609857,0.94920325,0.9493679,0.95012224,0.9490085,0.9453712,0.9512183,0.9469435,0.9520706,0.943743,0.94544256,0.94831467,0.9530793,0.9524827,0.94763607,0.95203483,0.9490889,0.94815826,0.94845915,0.9500176,0.9531928,0.9465593,0.95431834,0.94706124,0.94744337,0.95212597,0.9510824,0.94709677,0.94681966,0.9545109,0.9568153,0.9475826,0.95080096,0.9513004,0.9575555,0.9522554,0.9486643,0.95219195,0.95012146,0.9526504,0.94728863,0.9496843,0.95255315,0.95298344,0.9510119,0.95086676,0.949301,0.946654,0.94851685,0.94566095,0.9418341,0.9505342,0.95321685,0.95484287,0.95283115,0.95220256,0.9469796,0.95383155,0.9496628,0.9482933,0.952218,0.9489109,0.9518278,0.94901335,0.9484024,0.9555969,0.9486825,0.94837236,0.9447056,0.95612895
DPF3,0.9530742,0.9517446,0.95020497,0.9519487,0.9541,0.9511729,0.9487095,0.95146877,0.9509157,0.9581168,0.95303965,0.9549284,0.9556147,0.95516217,0.9525707,0.9515249,0.95491326,0.9490898,0.95105124,0.9507156,0.9519073,0.9999994,0.9498948,0.9503762,0.9519628,0.9499632,0.9517167,0.95420694,0.954666,0.9514696,0.95009506,0.9522697,0.9567253,0.9508867,0.9528469,0.9470066,0.95421904,0.94875485,0.95573753,0.94837415,0.94765717,0.95281595,0.9530255,0.950616,0.9489725,0.95030814,0.94995904,0.9468125,0.9535055,0.9504912,0.95147014,0.9487257,0.95008624,0.9511386,0.9482166,0.9512222,0.95351213,0.95095587,0.9544967,0.9498166,0.95575655,0.95547366,0.95158505,0.9531684,0.95006573,0.9534903,0.9513442,0.9467119,0.9485072,0.95584536,0.95000494,0.9489291,0.95294094,0.95684886,0.9526045,0.9574751,0.95298445,0.9467082,0.95365167,0.95185596,0.94881606,0.9542644,0.9529488,0.9566587,0.952345,0.9496332,0.9547657,0.9529431,0.9507244,0.94746983,0.95004356,0.95331216,0.9570582,0.9523666,0.9499328,0.9560952,0.95046663,0.9503437,0.94789577,0.9572696
DST,0.95209265,0.9485825,0.9501062,0.9501957,0.9495567,0.950299,0.94979817,0.9512922,0.9514955,0.94698167,0.9492829,0.9479731,0.9487614,0.94872016,0.94432974,0.9480095,0.94995874,0.95204616,0.94946504,0.9474964,0.9496236,0.9498948,1.0000046,0.95244396,0.9488937,0.9474256,0.9491181,0.94763714,0.94875395,0.9461765,0.95259655,0.9488051,0.9471932,0.94885916,0.94699955,0.9511126,0.9491802,0.9532336,0.9477501,0.9499737,0.9496788,0.9482582,0.9483566,0.95054454,0.94732374,0.94711417,0.9520483,0.95416594,0.9492091,0.9464822,0.9473684,0.9523549,0.9472659,0.9494039,0.9480455,0.94508296,0.94983256,0.9509513,0.94953793,0.948976,0.9481311,0.94867796,0.94883454,0.9493804,0.94329643,0.946001,0.9535596,0.9494627,0.94989103,0.94339615,0.9529333,0.950762,0.94892824,0.9483579,0.94741386,0.9493308,0.94779706,0.95066154,0.94929135,0.94911313,0.95048565,0.9483313,0.94569373,0.95063907,0.9507587,0.94977015,0.9497167,0.9461433,0.9451145,0.9514885,0.9470644,0.9474972,0.94915694,0.95091444,0.94871885,0.94951946,0.94501686,0.9502319,0.95332885,0.94817847
DTX1,0.94951385,0.9525571,0.95050913,0.95240474,0.95070577,0.9564993,0.9477431,0.9530148,0.9565314,0.95119095,0.94998837,0.949833,0.9482084,0.9472887,0.9471648,0.9478959,0.9533934,0.953834,0.9473633,0.94666326,0.9457489,0.9503762,0.95244396,0.9999864,0.94800425,0.9480392,0.95162386,0.9513736,0.9529812,0.947402,0.9595,0.949726,0.94916266,0.9484827,0.94893396,0.9523522,0.9492686,0.95533335,0.9486653,0.95110524,0.94878995,0.94998866,0.9483459,0.9469644,0.9443177,0.94633585,0.9495515,0.957901,0.9493907,0.9475094,0.9458656,0.9566658,0.9447845,0.9498001,0.9456362,0.94609725,0.9510678,0.9577239,0.95081985,0.94791394,0.9487821,0.9518947,0.94719005,0.9519179,0.9428892,0.94652647,0.95214564,0.9469979,0.94604075,0.94689554,0.9557965,0.95032465,0.9514003,0.95117307,0.9435748,0.951433,0.95035774,0.9506718,0.94867396,0.9528179,0.95536196,0.94988596,0.9457287,0.9489324,0.9527759,0.95241475,0.95461106,0.9488339,0.93959594,0.95018256,0.9470277,0.9493685,0.9508852,0.949119,0.9486784,0.9495162,0.9447603,0.95194805,0.95769745,0.94921285
EHF,0.9452784,0.9496576,0.95155585,0.9501536,0.94932586,0.94942445,0.9479183,0.95085883,0.948704,0.94723696,0.94912803,0.95459414,0.9451338,0.95292056,0.95103186,0.9476669,0.9498032,0.94565797,0.95355266,0.95216626,0.9495788,0.9519628,0.9488937,0.94800425,1.000006,0.9500142,0.94928336,0.9505533,0.9456409,0.94981885,0.94884324,0.9538788,0.95210195,0.95285684,0.9537909,0.9479154,0.95378876,0.948327,0.95258737,0.94830275,0.95087796,0.95490813,0.954085,0.95242554,0.95141286,0.95115536,0.95410377,0.9478589,0.9520929,0.94753915,0.9515071,0.9481075,0.94948536,0.95434093,0.95071477,0.9505589,0.9489164,0.9487159,0.9539982,0.95244753,0.9493624,0.9504861,0.9522473,0.9523904,0.95129853,0.95433444,0.9512214,0.94901806,0.9532158,0.95177984,0.9498673,0.9499368,0.9490442,0.949177,0.9505885,0.9473722,0.9541461,0.95009255,0.9529733,0.9502507,0.9527276,0.9514515,0.9523889,0.9501809,0.9471239,0.94762796,0.9476682,0.9514785,0.94980615,0.9483617,0.95392424,0.9554384,0.94708407,0.95019466,0.9518439,0.95024776,0.95075005,0.9493742,0.94898957,0.9507541
EHMT1,0.95131624,0.9473284,0.94645274,0.95316446,0.9503813,0.95028853,0.95162314,0.9498358,0.9476182,0.95008636,0.95082563,0.947567,0.9526494,0.9526255,0.9524521,0.9547085,0.95031327,0.9484382,0.9528942,0.9501882,0.9535168,0.9499632,0.9474256,0.9480392,0.9500142,0.99999285,0.9494202,0.9484335,0.9556771,0.94830173,0.94767886,0.94930327,0.9500177,0.9476311,0.9505529,0.9510621,0.95160127,0.9495934,0.9495223,0.94395304,0.948807,0.9473137,0.9529586,0.9513436,0.9476289,0.9503739,0.94873273,0.9492454,0.9483769,0.9520285,0.9503285,0.9498883,0.95647144,0.94889426,0.9490163,0.9519775,0.95144796,0.9505939,0.949018,0.95363843,0.9524763,0.95341414,0.9514352,0.9496138,0.95574325,0.9500874,0.9492264,0.9519902,0.9483733,0.952002,0.9478109,0.9469525,0.9479249,0.95280534,0.950447,0.947835,0.9509773,0.9477487,0.94812787,0.95011616,0.94708276,0.94665056,0.95277303,0.9516972,0.95027465,0.9550565,0.94962,0.95187813,0.94771016,0.95030564,0.95198846,0.9529014,0.95137805,0.9501076,0.9472359,0.9516804,0.94801235,0.95025116,0.9473066,0.953567
ELOF1,0.9529925,0.9530337,0.9506235,0.9557707,0.9556453,0.9555194,0.9464431,0.94996464,0.950604,0.95233786,0.9509431,0.9516021,0.94996256,0.9510165,0.9510134,0.9479447,0.95125264,0.9507055,0.9479495,0.947324,0.9464299,0.9517167,0.9491181,0.95162386,0.94928336,0.9494202,0.9999907,0.952809,0.95342577,0.9499095,0.9512438,0.94827294,0.9526916,0.9485678,0.94915056,0.9478705,0.94993544,0.9531642,0.951951,0.949898,0.9487301,0.95024705,0.95267725,0.9469636,0.9496585,0.9456815,0.9501769,0.9493655,0.95024884,0.9501669,0.9442873,0.95337754,0.94847256,0.94955635,0.94690067,0.94964486,0.9522695,0.953216,0.95245576,0.9483352,0.948245,0.95511925,0.94943035,0.95247746,0.9451941,0.9487436,0.95101935,0.94706625,0.9478466,0.94968975,0.9535856,0.9504264,0.9505396,0.9521374,0.9499782,0.95206356,0.9499529,0.94811153,0.94843304,0.95408136,0.95403314,0.9497214,0.94952375,0.950714,0.9503602,0.9512122,0.9566895,0.94960594,0.94898355,0.9509435,0.9473737,0.95255333,0.95331925,0.9481015,0.9493145,0.9506484,0.9483916,0.95049363,0.9513835,0.9518115
FAHD1,0.9513918,0.95335,0.9527382,0.9491754,0.95171785,0.9489161,0.9459005,0.950145,0.948834,0.9563458,0.9493702,0.954007,0.9549793,0.9534425,0.95076466,0.9485511,0.95414907,0.9464731,0.94944096,0.9502662,0.95208627,0.95420694,0.94763714,0.9513736,0.9505533,0.9484335,0.952809,0.9999916,0.9527255,0.95146,0.95096684,0.9517436,0.95505863,0.9507469,0.95321035,0.9470793,0.9511591,0.9476654,0.9555086,0.9470015,0.9473755,0.9528037,0.9548444,0.94759476,0.9488551,0.9497858,0.9512655,0.9480545,0.95047706,0.9517866,0.95148295,0.9474155,0.95019007,0.94888985,0.9474776,0.94915307,0.9507606,0.9526239,0.9527454,0.9489753,0.9536107,0.9527806,0.95060796,0.95277935,0.94971186,0.95184195,0.94927055,0.9441463,0.9469158,0.9540671,0.9524471,0.9502864,0.9527713,0.9564158,0.9520214,0.95753294,0.9538563,0.9455379,0.9503973,0.95190084,0.9519424,0.9521015,0.95305645,0.9536757,0.9521909,0.9483234,0.9540766,0.951614,0.9500445,0.9439547,0.9497995,0.9540364,0.9534955,0.94974256,0.949545,0.9541929,0.9512426,0.9496215,0.94899106,0.95468056
FAM208A,0.95818216,0.9532018,0.94559294,0.9515457,0.9543494,0.9519956,0.9477802,0.9500104,0.95155495,0.9574855,0.9521118,0.9521205,0.96044177,0.9537579,0.953382,0.95605165,0.95199174,0.95016223,0.9475205,0.9483531,0.9527281,0.954666,0.94875395,0.9529812,0.9456409,0.9556771,0.95342577,0.9527255,1.0000098,0.9458608,0.95197064,0.9489094,0.9547922,0.9476749,0.9507943,0.95205104,0.9483995,0.9524879,0.9525417,0.94602406,0.94251907,0.9459373,0.9497805,0.9464915,0.9424998,0.94772637,0.9467852,0.95129424,0.9498395,0.95580894,0.94947577,0.9536767,0.9523013,0.9465793,0.94220686,0.95032096,0.9553144,0.9578467,0.9507651,0.9485092,0.9550807,0.9572481,0.9496014,0.9509827,0.94950587,0.9497553,0.94976866,0.9466078,0.94740164,0.95576084,0.9503375,0.9470561,0.95201343,0.9564887,0.9490467,0.95790863,0.9468467,0.9478477,0.94979703,0.95153403,0.94941384,0.9500203,0.95116115,0.9558417,0.95480776,0.9582354,0.95719516,0.95285034,0.9434159,0.9471908,0.95092475,0.95297563,0.9593896,0.94791824,0.94756645,0.95528394,0.9462372,0.9537273,0.9492319,0.9562144
FAM229B,0.9458735,0.9487499,0.9518612,0.95069826,0.95489407,0.9517037,0.9532067,0.95137304,0.9495868,0.95081836,0.9524393,0.95096517,0.95292354,0.9532418,0.95816517,0.9490688,0.9520264,0.9499869,0.9521494,0.9485771,0.9490538,0.9514696,0.9461765,0.947402,0.94981885,0.94830173,0.9499095,0.95146,0.9458608,0.9999884,0.9475769,0.94987917,0.94743794,0.9493971,0.95051706,0.94918466,0.95333177,0.9512771,0.95291936,0.951016,0.9580256,0.9537472,0.95220655,0.95243764,0.96235996,0.9487256,0.94833523,0.94550157,0.9500294,0.94720227,0.9495621,0.9497231,0.9518113,0.9507548,0.9580156,0.95632154,0.95408785,0.9426435,0.9501468,0.9506088,0.9509694,0.95450807,0.9524485,0.95008713,0.9505729,0.9527757,0.9483445,0.95302075,0.95098364,0.9531599,0.9470043,0.94961375,0.95008695,0.95112586,0.9553443,0.95445913,0.9543444,0.9505805,0.9505033,0.94910055,0.94942665,0.9510961,0.95203274,0.9521417,0.9483497,0.947992,0.94930273,0.95680416,0.9606836,0.9525062,0.9479092,0.9483184,0.9520721,0.95068765,0.95088816,0.95248663,0.9539429,0.9483612,0.94611263,0.9528197
FSD1,0.9474906,0.9530868,0.95106065,0.9501826,0.9491532,0.95697576,0.9457293,0.95324254,0.95843446,0.9516551,0.9492892,0.9507977,0.9475482,0.94759065,0.9468799,0.94749904,0.9532982,0.95462745,0.9471595,0.9459586,0.94609857,0.95009506,0.95259655,0.9595,0.94884324,0.94767886,0.9512438,0.95096684,0.95197064,0.9475769,1.0000048,0.95015466,0.94820327,0.9503262,0.94933784,0.9509696,0.94947463,0.9563708,0.9517338,0.9513702,0.9488734,0.9506023,0.9490607,0.9471687,0.9448907,0.94619805,0.95019984,0.959391,0.9506582,0.9480798,0.9473354,0.95557046,0.9429673,0.94951946,0.94682944,0.94504154,0.95022553,0.9589216,0.9494183,0.94689715,0.94836414,0.95128113,0.94941473,0.9530786,0.9433062,0.94895554,0.95183176,0.9465649,0.9449221,0.9471994,0.95536053,0.9536893,0.95149744,0.9490708,0.944952,0.9512019,0.9507156,0.9511871,0.94849485,0.9543307,0.9551146,0.95149827,0.9444996,0.94936424,0.9549158,0.9487055,0.9536946,0.94859457,0.94043255,0.9496518,0.9487479,0.94821405,0.95016605,0.9503454,0.95021707,0.95063436,0.946729,0.9525056,0.9571131,0.94813985
GLI3,0.9456443,0.9513463,0.95010173,0.9492929,0.9491912,0.94931567,0.9486463,0.95042574,0.9505104,0.94968677,0.94930434,0.953868,0.95110357,0.95174074,0.94909513,0.94950825,0.949505,0.94731164,0.95219725,0.9530247,0.94920325,0.9522697,0.9488051,0.949726,0.9538788,0.94930327,0.94827294,0.9517436,0.9489094,0.94987917,0.95015466,1.0000018,0.9501491,0.9521757,0.9548962,0.94846386,0.95128125,0.94886774,0.95205283,0.94943804,0.9496379,0.9528272,0.95019555,0.9506456,0.94999826,0.95287776,0.9510352,0.9484093,0.952051,0.9495654,0.9533369,0.94841915,0.94895965,0.9535157,0.94954896,0.95033723,0.94804186,0.95063114,0.95201486,0.95133716,0.95071465,0.949329,0.95236415,0.95021987,0.94973457,0.9526058,0.94972235,0.9479304,0.94998205,0.951861,0.9505434,0.9468498,0.9492551,0.95023185,0.948467,0.94952685,0.95170814,0.94926965,0.9512146,0.9498626,0.94956124,0.9533379,0.9533195,0.95053774,0.94852984,0.9463355,0.94996756,0.9492532,0.94940585,0.94687134,0.9513252,0.952263,0.9489099,0.9504129,0.9520335,0.950595,0.9522121,0.9499121,0.94865125,0.9504616
HDHD3,0.95425177,0.9508679,0.9508395,0.95014554,0.9535307,0.94953406,0.9422183,0.94767904,0.9485807,0.9538262,0.95144504,0.9562787,0.9542991,0.9552763,0.95689213,0.95110345,0.95078605,0.9460377,0.94818145,0.95048463,0.9493679,0.9567253,0.9471932,0.94916266,0.95210195,0.9500177,0.9526916,0.95505863,0.9547922,0.94743794,0.94820327,0.9501491,1.0000052,0.94955134,0.95280653,0.9464337,0.95060843,0.9465767,0.95588696,0.9451241,0.9470804,0.9518241,0.9548699,0.9463583,0.9516706,0.9493766,0.9515898,0.94501776,0.951426,0.95073795,0.95058334,0.9480703,0.9523946,0.95060945,0.94391024,0.95320815,0.95049983,0.9532635,0.9567317,0.9491987,0.95052654,0.9567682,0.95258564,0.95376754,0.9488728,0.9520163,0.9505986,0.9410738,0.9521262,0.9577786,0.9513417,0.949363,0.95104975,0.95702577,0.9542683,0.9555263,0.95156837,0.9433866,0.9529701,0.9536253,0.952759,0.95241326,0.9529754,0.9550464,0.94919515,0.95162356,0.95437825,0.9504122,0.9503533,0.9428065,0.9507674,0.9556648,0.9565818,0.9519617,0.9496536,0.95360744,0.95378685,0.95054823,0.9480982,0.9556142
HIST1H4I,0.94695944,0.9505452,0.95039594,0.947283,0.94712055,0.94760203,0.9482186,0.95010275,0.9483363,0.94875306,0.94826347,0.9517448,0.947743,0.9518898,0.94788206,0.9477946,0.9497351,0.94844157,0.94978434,0.9545913,0.95012224,0.9508867,0.94885916,0.9484827,0.95285684,0.9476311,0.9485678,0.9507469,0.9476749,0.9493971,0.9503262,0.9521757,0.94955134,0.9999987,0.9528136,0.9470732,0.9519942,0.9482803,0.94967306,0.94870025,0.9503223,0.95163584,0.9491966,0.9480345,0.94963604,0.95380574,0.950167,0.94782704,0.951521,0.9474484,0.95204145,0.9487672,0.94674236,0.9509613,0.95000154,0.948468,0.94763374,0.94871545,0.95080173,0.9501368,0.9494987,0.94656175,0.94848776,0.95081234,0.9507811,0.9521539,0.94962037,0.9490009,0.9503603,0.9484498,0.9501463,0.9507054,0.94998944,0.9488392,0.9498837,0.947647,0.95168966,0.94802094,0.9530567,0.947902,0.9489002,0.95187235,0.9499122,0.9491381,0.9487327,0.94775903,0.94813097,0.94995224,0.95040035,0.9480186,0.95159477,0.9493882,0.9475449,0.95031023,0.95579225,0.94970787,0.94978154,0.94935673,0.9484905,0.9481757
HSPA4,0.94650203,0.9504661,0.95056605,0.9502382,0.9484815,0.9498271,0.9469747,0.94893146,0.94812596,0.9500087,0.94724894,0.9554489,0.9505572,0.95331746,0.95090824,0.94920087,0.95107114,0.9447395,0.9525372,0.95369035,0.9490085,0.9528469,0.94699955,0.94893396,0.9537909,0.9505529,0.94915056,0.95321035,0.9507943,0.95051706,0.94933784,0.9548962,0.95280653,0.9528136,1.0000049,0.9451557,0.9525795,0.94687855,0.95430326,0.9453726,0.94958293,0.9533034,0.9516279,0.949867,0.9505859,0.9520726,0.9530456,0.9468858,0.9522678,0.9489906,0.9545916,0.94731593,0.95039976,0.9537834,0.9484783,0.9510427,0.9478908,0.9500767,0.9555197,0.95126736,0.94993824,0.95076966,0.9515165,0.95212716,0.95205796,0.95433044,0.9494233,0.94619083,0.9514254,0.95538545,0.9492432,0.947805,0.94948167,0.9520693,0.9523004,0.9503257,0.9517945,0.9454485,0.9556936,0.9506998,0.9494913,0.9530168,0.9545978,0.9519235,0.9480643,0.94761056,0.95061904,0.94797266,0.9507529,0.94425917,0.9528593,0.95327026,0.9500223,0.9497749,0.9544804,0.95172673,0.95249695,0.9493819,0.9465962,0.9532327
HSPH1,0.9540489,0.9475262,0.94819635,0.95434964,0.9554166,0.9540448,0.95464,0.95288354,0.9508031,0.9464127,0.95386755,0.9477899,0.9483949,0.94691914,0.9507525,0.9507561,0.95136887,0.9601215,0.9481361,0.9460213,0.9453712,0.9470066,0.9511126,0.9523522,0.9479154,0.9510621,0.9478705,0.9470793,0.95205104,0.94918466,0.9509696,0.94846386,0.9464337,0.9470732,0.9451557,0.99999976,0.9491291,0.9551624,0.94374895,0.9531934,0.9537471,0.9468215,0.945453,0.95154256,0.94785905,0.9465115,0.9476134,0.9524264,0.9484715,0.9463973,0.94440293,0.9560815,0.95026964,0.95036274,0.9503002,0.9470925,0.9569154,0.94968075,0.94786453,0.94863075,0.95159054,0.9559268,0.94947433,0.9482051,0.94318277,0.94443065,0.9519244,0.9534445,0.9517972,0.9396086,0.9502431,0.95599174,0.94848377,0.94624436,0.9438539,0.9492871,0.94989055,0.9579661,0.9479555,0.95335376,0.95458823,0.9461366,0.9403871,0.9474207,0.95172846,0.9574863,0.9511499,0.9537782,0.9444083,0.96037847,0.94446886,0.9443177,0.9545979,0.95344335,0.9491006,0.9486378,0.9436686,0.95246124,0.95312667,0.946853
IL17F,0.9471506,0.9493566,0.95009506,0.9514488,0.9521295,0.9516931,0.95299506,0.95277286,0.9503028,0.94889367,0.95256877,0.95287585,0.9490754,0.95278335,0.9519162,0.9523296,0.95330507,0.94813484,0.95638996,0.95099854,0.9512183,0.95421904,0.9491802,0.9492686,0.95378876,0.95160127,0.94993544,0.9511591,0.9483995,0.95333177,0.94947463,0.95128125,0.95060843,0.9519942,0.9525795,0.9491291,1.0000004,0.9539708,0.95407254,0.95013046,0.9552289,0.95331955,0.95373994,0.95494884,0.9509839,0.9507242,0.9501484,0.9485186,0.95093894,0.9482247,0.95120174,0.9507932,0.9537155,0.9523652,0.95508957,0.95208263,0.9533936,0.94746304,0.9529368,0.9530996,0.950112,0.95718235,0.9575882,0.95231646,0.9522133,0.9538005,0.951028,0.9513397,0.9508695,0.953049,0.9479788,0.94767785,0.9502407,0.95251876,0.9534983,0.9495309,0.9515837,0.9516245,0.954277,0.9503983,0.95309746,0.9512658,0.9541074,0.9528114,0.9489298,0.94998926,0.94975895,0.95194036,0.9507483,0.9518829,0.95276463,0.952615,0.9533273,0.9509453,0.94982475,0.9557527,0.95159936,0.94881594,0.9492806,0.95430285
KCNIP2,0.948896,0.95031774,0.9497898,0.95506006,0.95517784,0.96168524,0.9533937,0.95439625,0.9565591,0.947217,0.95369333,0.95009685,0.9458855,0.94893086,0.9489055,0.9508574,0.95346606,0.95670265,0.95245856,0.94558835,0.9469435,0.94875485,0.9532336,0.95533335,0.948327,0.9495934,0.9531642,0.9476654,0.9524879,0.9512771,0.9563708,0.94886774,0.9465767,0.9482803,0.94687855,0.9551624,0.9539708,0.9999987,0.9492645,0.95430386,0.95426005,0.94894,0.95018464,0.9528597,0.9488295,0.94682527,0.95030725,0.95927954,0.9494607,0.9487624,0.944288,0.96391636,0.9506794,0.9496589,0.9515346,0.9485786,0.95771444,0.9544181,0.9510224,0.9516927,0.9455708,0.9574736,0.9533162,0.951838,0.943701,0.9482507,0.95360076,0.95248294,0.94770825,0.9472801,0.9531352,0.9500773,0.94879025,0.949435,0.95058393,0.94923353,0.9489957,0.9571264,0.9501518,0.9531177,0.95589876,0.94938904,0.94706535,0.9515765,0.9521133,0.9557679,0.9552231,0.9508242,0.9417389,0.9596758,0.9482178,0.9495804,0.95231193,0.9523361,0.94857746,0.9529637,0.94440424,0.95280594,0.95618653,0.95022035
KDELR2,0.9476049,0.9547131,0.95265794,0.9514508,0.9506051,0.95055175,0.94570804,0.95010483,0.9519069,0.95316696,0.94744587,0.95448977,0.95109695,0.95306504,0.9519396,0.94954944,0.9560596,0.94351447,0.9524557,0.9504371,0.9520706,0.95573753,0.9477501,0.9486653,0.95258737,0.9495223,0.951951,0.9555086,0.9525417,0.95291936,0.9517338,0.95205283,0.95588696,0.94967306,0.95430326,0.94374895,0.95407254,0.9492645,0.99999774,0.948033,0.9508445,0.9552701,0.9586647,0.94977564,0.95033115,0.9487295,0.951866,0.94720143,0.95044017,0.9489008,0.9508102,0.9488722,0.9474715,0.95135087,0.94815534,0.95221937,0.94837046,0.953192,0.9535625,0.95120925,0.9512825,0.9538677,0.95386815,0.9554908,0.9521198,0.95281804,0.9482696,0.9458165,0.94884515,0.9591305,0.9530781,0.9508225,0.9515438,0.95480114,0.95550567,0.9536851,0.95459884,0.9464917,0.9511916,0.9533627,0.9502001,0.95354396,0.9565606,0.9547311,0.9504195,0.9452786,0.9532629,0.95048213,0.9524195,0.943549,0.9527364,0.9569402,0.9526929,0.95057017,0.95087475,0.9556716,0.95531213,0.94963455,0.94712394,0.95569986
KDM6A,0.94580334,0.95017934,0.95332974,0.9502103,0.9538988,0.9547199,0.9528538,0.9544691,0.9536239,0.94825363,0.95189416,0.9485591,0.94695884,0.9455379,0.947515,0.947985,0.9495505,0.95489895,0.94700617,0.9463916,0.943743,0.94837415,0.9499737,0.95110524,0.94830275,0.94395304,0.949898,0.9470015,0.94602406,0.951016,0.9513702,0.94943804,0.9451241,0.94870025,0.9453726,0.9531934,0.95013046,0.95430386,0.948033,1.0000029,0.953252,0.94814885,0.94278055,0.9511252,0.9482023,0.94704497,0.9469208,0.9520757,0.9491995,0.94993776,0.9457829,0.95418745,0.945129,0.9503039,0.9548261,0.94565976,0.9511746,0.9469005,0.9463084,0.94847375,0.9464275,0.94951874,0.9505621,0.94766116,0.9440763,0.9475678,0.95007366,0.95574015,0.948371,0.9427146,0.94942504,0.94920975,0.9494074,0.9488748,0.94774,0.94928503,0.94929993,0.9581223,0.9485859,0.9484952,0.9513899,0.95022315,0.94356793,0.94651026,0.9491107,0.94530976,0.95094097,0.9497832,0.9485355,0.95786613,0.9476242,0.94717276,0.9468273,0.9506325,0.9494768,0.94745195,0.9472621,0.95005137,0.952153,0.94459265
KLF13,0.94518024,0.94719017,0.95016265,0.953094,0.95224524,0.9527754,0.95429105,0.952319,0.9508437,0.9450827,0.9515655,0.95176506,0.9465817,0.9497156,0.9539109,0.94978243,0.95081574,0.95242727,0.9517206,0.94789,0.94544256,0.94765717,0.9496788,0.94878995,0.95087796,0.948807,0.9487301,0.9473755,0.94251907,0.9580256,0.9488734,0.9496379,0.9470804,0.9503223,0.94958293,0.9537471,0.9552289,0.95426005,0.9508445,0.953252,1.0000067,0.9527046,0.9505298,0.9533987,0.95877635,0.9488975,0.94810146,0.9493194,0.94957685,0.94289446,0.94641465,0.95276606,0.9514788,0.95164007,0.96132445,0.9522209,0.95195246,0.9444801,0.9497874,0.9518958,0.9484131,0.9552162,0.9535194,0.9496248,0.94640255,0.9502726,0.9501416,0.95477253,0.9527309,0.9463657,0.94971114,0.9513353,0.94808006,0.9474238,0.9518643,0.94863516,0.95174634,0.954734,0.9527476,0.9510888,0.9537927,0.94875705,0.94966084,0.951742,0.94684875,0.9479911,0.9472048,0.950989,0.9521823,0.9577361,0.9473029,0.94949484,0.9505274,0.9525169,0.9509009,0.9491655,0.95213354,0.9491187,0.9509152,0.9488448
KLHL17,0.9470864,0.9480914,0.9540188,0.95023257,0.95178026,0.9505881,0.94489884,0.9531224,0.95011336,0.94954854,0.9488567,0.95425355,0.9482098,0.9532053,0.9501476,0.94661,0.95137376,0.94675934,0.95232046,0.95087326,0.94831467,0.95281595,0.9482582,0.94998866,0.95490813,0.9473137,0.95024705,0.9528037,0.9459373,0.9537472,0.9506023,0.9528272,0.9518241,0.95163584,0.9533034,0.9468215,0.95331955,0.94894,0.9552701,0.94814885,0.9527046,1.0000017,0.9544952,0.9491322,0.9538775,0.94884795,0.95276934,0.9474512,0.9515704,0.9437177,0.9508483,0.9484415,0.94696766,0.95249015,0.9496801,0.9509049,0.9485325,0.9499879,0.95511097,0.94921345,0.950388,0.9527989,0.9519396,0.95460784,0.94731003,0.9513532,0.95007235,0.9458483,0.9513172,0.95131975,0.9502653,0.9532025,0.948895,0.952241,0.9512676,0.9527409,0.95345104,0.94663495,0.9531095,0.9517313,0.9534869,0.9528676,0.9509931,0.94873506,0.94773,0.94699895,0.95254517,0.95269775,0.95087636,0.9453075,0.9486216,0.95103717,0.9505832,0.9519521,0.9517337,0.95326906,0.95304143,0.94861406,0.94908524,0.9518625
