,AK3,ATF7IP2,ATP10D,ATXN7L3,BBS10,BEND3,BHLHE40,BNIP3L,BTLA,C11orf1,C12orf76,CA1,CCNB1,CCPG1,CD8A,CDHR5,CDK10,CLIC5,CYB5R1,CYP20A1,DMRT1,DPF3,DST,DTX1,EHF,EHMT1,ELOF1,FAHD1,FAM208A,FAM229B,FSD1,GLI3,HDHD3,HIST1H4I,HSPA4,HSPH1,IL17F,KCNIP2,KDELR2,KDM6A,KLF13,KLHL17,KLRG1,KRTCAP2,LRP6,LRRC37A3,LRTOMT,LY96,LYST,LZTS1,MAP3K9,MAP7D1,MAP7D3,MAPK8,MBOAT2,MGA,MOSMO,NNAT,ORM2,P3H3,PEX10,PIP,POU2F3,RAB30,RAMP1,RASD2,RCBTB1,RETN,RFX5,RNH1,RPL26L1,RPS6KA1,RYK,S100P,SAMHD1,SH2D2A,SH3KBP1,SIKE1,SIT1,SLC25A33,SLC25A4,SOX15,SPATA2,SUMF1,SYNE1,TCEAL1,TESPA1,THYN1,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,TWIST1,ZDHHC5,ZFP14,ZGLP1,ZNF138,ZNF687,ZNF880
C12orf76,0.9522734,0.9458111,0.9493089,0.9527988,0.9627656,0.95057315,0.95469636,0.9510213,0.94902754,0.95484257,1.000006,0.95140386,0.9528749,0.9529377,0.9556807,0.95367146,0.95346665,0.9536403,0.9529747,0.94868296,0.9509625,0.95303965,0.9492829,0.94998837,0.94912803,0.95082563,0.9509431,0.9493702,0.9521118,0.9524393,0.9492892,0.94930434,0.95144504,0.94826347,0.94724894,0.95386755,0.95256877,0.95369333,0.94744587,0.95189416,0.9515655,0.9488567,0.95033693,0.9547939,0.9518157,0.9490353,0.9480554,0.9500499,0.9508531,0.9504781,0.94667995,0.95239246,0.9570432,0.9480641,0.9521084,0.9546448,0.95765066,0.94711393,0.9499167,0.95294183,0.9512743,0.95672596,0.952629,0.9503322,0.94946724,0.95001554,0.9520156,0.9511391,0.9511454,0.9505615,0.9475889,0.94878906,0.95068824,0.9556354,0.95094025,0.9540944,0.9499272,0.95503193,0.94966114,0.9497821,0.95106155,0.9507826,0.95000505,0.95432687,0.9504962,0.9559798,0.955361,0.96049863,0.94838834,0.9553836,0.9482471,0.9503037,0.95639396,0.95026505,0.9480629,0.95559925,0.94854164,0.95210135,0.95015514,0.95380676
CA1,0.9492065,0.95212454,0.95143604,0.951028,0.95497817,0.9524119,0.9478492,0.9505549,0.9513704,0.9537757,0.95140386,0.9999924,0.95184386,0.95452243,0.95337254,0.95007956,0.9518852,0.9490238,0.9515661,0.9516506,0.9482675,0.9549284,0.9479731,0.949833,0.95459414,0.947567,0.9516021,0.954007,0.9521205,0.95096517,0.9507977,0.953868,0.9562787,0.9517448,0.9554489,0.9477899,0.95287585,0.95009685,0.95448977,0.9485591,0.95176506,0.95425355,0.95187217,0.949034,0.95108944,0.9493786,0.95111454,0.94746786,0.9526288,0.9498297,0.95160437,0.949316,0.94991726,0.95234823,0.9492513,0.95133823,0.9542748,0.9506738,0.9558603,0.94765407,0.9512415,0.95745283,0.95234156,0.953329,0.9493158,0.95287174,0.95127475,0.945372,0.94949794,0.95621485,0.9498327,0.94926536,0.9514027,0.9557836,0.9530547,0.95528024,0.9527593,0.948442,0.95397,0.9520181,0.95348954,0.95476484,0.9524064,0.9525535,0.94969845,0.9492821,0.95481366,0.95240134,0.9501715,0.9458854,0.9516418,0.952662,0.95647216,0.95086753,0.9526402,0.9552052,0.9534843,0.94917166,0.948714,0.95546615
CCNB1,0.9569996,0.95088255,0.9489907,0.9490194,0.9540963,0.94739753,0.9521413,0.95066833,0.94860685,0.95656717,0.9528749,0.95184386,1.0000052,0.9543914,0.951629,0.9559202,0.9520569,0.95025975,0.9474342,0.9501205,0.95488226,0.9556147,0.9487614,0.9482084,0.9451338,0.9526494,0.94996256,0.9549793,0.96044177,0.95292354,0.9475482,0.95110357,0.9542991,0.947743,0.9505572,0.9483949,0.9490754,0.9458855,0.95109695,0.94695884,0.9465817,0.9482098,0.9461283,0.94723135,0.948737,0.9499451,0.9464426,0.94782066,0.950852,0.9551497,0.9510994,0.9473257,0.9559676,0.9482961,0.94713855,0.9513918,0.9547522,0.94983137,0.95136446,0.948921,0.955179,0.9546182,0.9509035,0.9489572,0.9521374,0.9520458,0.9502164,0.9478293,0.948318,0.9557238,0.9474892,0.9444938,0.9525759,0.9558521,0.95279586,0.9582394,0.9479795,0.9473641,0.95082474,0.9494462,0.94735944,0.949637,0.9513632,0.9560457,0.951493,0.95281595,0.9536617,0.95244974,0.9491064,0.94567496,0.9508039,0.95117545,0.95599,0.95190895,0.9479031,0.95427966,0.94896346,0.951753,0.945062,0.9577902
CCPG1,0.95133674,0.9484688,0.95117235,0.9517553,0.9557181,0.94915015,0.9501255,0.9505614,0.94775254,0.95376515,0.9529377,0.95452243,0.9543914,1.0000035,0.9567306,0.95228744,0.9530027,0.947172,0.95365685,0.9522951,0.95554626,0.95516217,0.94872016,0.9472887,0.95292056,0.9526255,0.9510165,0.9534425,0.9537579,0.9532418,0.94759065,0.95174074,0.9552763,0.9518898,0.95331746,0.94691914,0.95278335,0.94893086,0.95306504,0.9455379,0.9497156,0.9532053,0.9545584,0.9519018,0.95404875,0.94985783,0.9506358,0.9467697,0.9513887,0.95000523,0.952478,0.9502475,0.9574971,0.9495531,0.94965416,0.9558865,0.9547592,0.9484217,0.9532603,0.9525426,0.9551227,0.95603937,0.9519937,0.95146114,0.9528408,0.954374,0.9505424,0.9474133,0.9520669,0.9566809,0.9469973,0.94894534,0.9515562,0.9580619,0.95733094,0.955068,0.9517905,0.9469677,0.9525126,0.94883037,0.9474459,0.95199955,0.9538881,0.95472133,0.95069456,0.95368713,0.95245516,0.9569049,0.95318985,0.94884086,0.9506731,0.9526241,0.95561826,0.9510598,0.95053315,0.95610607,0.95149267,0.94926023,0.9449201,0.9595655
CD8A,0.95031214,0.94725317,0.9497325,0.9552086,0.9586916,0.95327836,0.95320237,0.95140505,0.9478638,0.95196927,0.9556807,0.95337254,0.951629,0.9567306,0.99999756,0.9542223,0.9530175,0.9486199,0.9515205,0.947991,0.94749415,0.9525707,0.94432974,0.9471648,0.95103186,0.9524521,0.9510134,0.95076466,0.953382,0.95816517,0.9468799,0.94909513,0.95689213,0.94788206,0.95090824,0.9507525,0.9519162,0.9489055,0.9519396,0.947515,0.9539109,0.9501476,0.95663726,0.9519032,0.95852363,0.9486129,0.94836915,0.94497675,0.9505685,0.9499167,0.9481636,0.9506464,0.9574417,0.94984597,0.9532523,0.9625835,0.95550966,0.9485201,0.9524331,0.9525427,0.9513023,0.9625423,0.9541566,0.9518888,0.9527798,0.95424795,0.94883174,0.9497158,0.95344186,0.95961714,0.9466445,0.94795585,0.9490153,0.9579815,0.9551007,0.9555498,0.9559202,0.9494059,0.95182914,0.9522042,0.9517639,0.95001745,0.9539349,0.953922,0.94610184,0.9522901,0.95254725,0.9604345,0.95384264,0.95091087,0.95039797,0.9558288,0.9595189,0.9498147,0.9499371,0.95404494,0.95391214,0.9504334,0.94751734,0.95488846
CDHR5,0.95114356,0.94994485,0.9484071,0.95281565,0.9513507,0.95116156,0.95442426,0.9493636,0.9496786,0.9526647,0.95367146,0.95007956,0.9559202,0.95228744,0.9542223,1.0000067,0.95222926,0.95075876,0.948986,0.9500395,0.952233,0.9515249,0.9480095,0.9478959,0.9476669,0.9547085,0.9479447,0.9485511,0.95605165,0.9490688,0.94749904,0.94950825,0.95110345,0.9477946,0.94920087,0.9507561,0.9523296,0.9508574,0.94954944,0.947985,0.94978243,0.94661,0.949184,0.9507361,0.94585043,0.95068413,0.9470215,0.94886065,0.94986683,0.95580465,0.9491353,0.94926786,0.95631963,0.94944656,0.95153445,0.9527505,0.9530982,0.95073116,0.9491003,0.95356417,0.95368415,0.95612997,0.95444024,0.94931513,0.9545613,0.9528967,0.94877696,0.9547602,0.9470051,0.95409083,0.94733286,0.94393086,0.95163167,0.95241994,0.950825,0.9516134,0.9493212,0.9516258,0.95131934,0.94874066,0.94740695,0.9499283,0.9522757,0.95296824,0.9511174,0.95254534,0.94936574,0.95561755,0.9486442,0.9513255,0.95179844,0.95275724,0.9579797,0.9508951,0.94613737,0.95535684,0.94902253,0.9518479,0.94764495,0.9537197
CDK10,0.948819,0.95140487,0.95268047,0.95277655,0.95468915,0.95273936,0.94961095,0.9526621,0.9518037,0.95560247,0.95346665,0.9518852,0.9520569,0.9530027,0.9530175,0.95222926,1.0000051,0.95174444,0.9511668,0.94936925,0.95430326,0.95491326,0.94995874,0.9533934,0.9498032,0.95031327,0.95125264,0.95414907,0.95199174,0.9520264,0.9532982,0.949505,0.95078605,0.9497351,0.95107114,0.95136887,0.95330507,0.95346606,0.9560596,0.9495505,0.95081574,0.95137376,0.95380807,0.95062286,0.94915104,0.9475026,0.95054305,0.9515089,0.9499916,0.9476914,0.94869477,0.9523448,0.948923,0.9498141,0.9510051,0.95152366,0.9550668,0.95119035,0.9522402,0.9523103,0.9531472,0.95574564,0.9516128,0.95417947,0.94922054,0.95081717,0.95164645,0.94861156,0.94815046,0.9536408,0.951583,0.9519947,0.95263153,0.9554437,0.9506276,0.95444953,0.9543105,0.95031244,0.95165795,0.95244336,0.9520007,0.9522023,0.9507682,0.95291215,0.9529929,0.95366156,0.9539521,0.95540565,0.9487595,0.9512043,0.9487833,0.951593,0.9557372,0.9515523,0.9480956,0.9562042,0.9499141,0.95071316,0.9522531,0.9552651
CLIC5,0.955883,0.9471524,0.9496225,0.95287657,0.95604146,0.9534352,0.9553687,0.95271647,0.9535567,0.9502816,0.9536403,0.9490238,0.95025975,0.947172,0.9486199,0.95075876,0.95174444,0.9999957,0.94688827,0.94424886,0.9463598,0.9490898,0.95204616,0.953834,0.94565797,0.9484382,0.9507055,0.9464731,0.95016223,0.9499869,0.95462745,0.94731164,0.9460377,0.94844157,0.9447395,0.9601215,0.94813484,0.95670265,0.94351447,0.95489895,0.95242727,0.94675934,0.9425519,0.95061445,0.9458407,0.94524294,0.9479996,0.95344496,0.95047903,0.94731563,0.9424647,0.9570303,0.94915986,0.9484298,0.9514875,0.944781,0.9573415,0.9494846,0.9480412,0.9466914,0.9504321,0.9532496,0.947481,0.9478769,0.940907,0.94456583,0.9521851,0.9549175,0.9488906,0.93806094,0.9520575,0.9546155,0.95243055,0.94636154,0.9459948,0.9527958,0.948741,0.954802,0.9492704,0.95181054,0.9529549,0.9460056,0.9389585,0.948705,0.9527622,0.95543957,0.9524399,0.95337015,0.9449318,0.9624415,0.94304997,0.9440025,0.95328337,0.9538541,0.9493508,0.9455816,0.9436469,0.95082676,0.95782876,0.9460371
CYB5R1,0.9445187,0.94878113,0.9487843,0.9522803,0.9522665,0.94976604,0.95464826,0.94951177,0.95028484,0.9478277,0.9529747,0.9515661,0.9474342,0.95365685,0.9515205,0.948986,0.9511668,0.94688827,1.000011,0.9508232,0.95526075,0.95105124,0.94946504,0.9473633,0.95355266,0.9528942,0.9479495,0.94944096,0.9475205,0.9521494,0.9471595,0.95219725,0.94818145,0.94978434,0.9525372,0.9481361,0.95638996,0.95245856,0.9524557,0.94700617,0.9517206,0.95232046,0.9555461,0.9586617,0.9511452,0.95171446,0.9518106,0.94958884,0.95058787,0.9484607,0.95073694,0.9511154,0.9558251,0.95247495,0.9534981,0.9535207,0.95358896,0.9464995,0.9516926,0.95742357,0.9503959,0.9517699,0.9546871,0.95089865,0.9550094,0.9553176,0.95008147,0.9549696,0.9499174,0.9542897,0.94788444,0.94735044,0.9492678,0.9516165,0.9560862,0.9473517,0.95264405,0.9515588,0.9514118,0.9479552,0.94658464,0.95042634,0.95695275,0.9538828,0.95004565,0.9502864,0.94772464,0.95270926,0.9502338,0.95212746,0.95287913,0.9525245,0.95013595,0.9505629,0.9504336,0.9544839,0.9494018,0.94880486,0.9487827,0.9564984
CYP20A1,0.9488875,0.9477182,0.9478862,0.9478669,0.94804037,0.94530666,0.94832927,0.9484643,0.9468279,0.9483125,0.94868296,0.9516506,0.9501205,0.9522951,0.947991,0.9500395,0.94936925,0.94424886,0.9508232,1.0000054,0.9524977,0.9507156,0.9474964,0.94666326,0.95216626,0.9501882,0.947324,0.9502662,0.9483531,0.9485771,0.9459586,0.9530247,0.95048463,0.9545913,0.95369035,0.9460213,0.95099854,0.94558835,0.9504371,0.9463916,0.94789,0.95087326,0.9505833,0.94965583,0.9501488,0.9550362,0.9493278,0.94636893,0.9500959,0.9487925,0.95401955,0.94499105,0.9509781,0.95054495,0.9482991,0.95067436,0.947737,0.9476391,0.9518807,0.95048785,0.9511259,0.9480054,0.94970244,0.95059127,0.95301694,0.95068085,0.94913787,0.947078,0.9510416,0.95227593,0.94603586,0.94719017,0.9499672,0.95020777,0.9511684,0.94800186,0.94982004,0.9462916,0.9524832,0.946099,0.9461996,0.95100576,0.9526739,0.9486034,0.9484745,0.9481761,0.9475709,0.9497491,0.9516049,0.9447422,0.95044553,0.94920516,0.9485144,0.9492579,0.9542796,0.95120907,0.95202255,0.9479755,0.9459168,0.9511615
