,AK3,ATF7IP2,ATP10D,ATP6V1E2,ATXN7L3,BACH2,BBS10,BEND3,BHLHE40,BTLA,CA1,CCNB1,CCPG1,CD8A,CDHR5,CDK10,CLIC5,CYB5R1,CYP20A1,DMRT1,DPF3,DST,EHF,EHMT1,ELOF1,FAM208A,FAM229B,HDHD3,HES5,HIST1H4I,HOXA1,HSPH1,IL17F,KCNIP2,KDELR2,KDM6A,KLF13,KLRG1,KRTCAP2,LCMT2,LRP6,LRRC37A3,LRTOMT,LY96,LYST,MAP7D1,MAPK8,MBOAT2,MCTS1,MED19,MGA,MICA,MOSMO,MT3,NDST1,NNAT,ORM2,P3H3,PEX10,PIP,POU2F3,RAB30,RAMP1,RASD2,RCBTB1,RFX5,RPL26L1,RPS6KA1,S100P,SAMHD1,SENP5,SFXN4,SH2D2A,SH3KBP1,SIKE1,SIT1,SLC25A33,SPATA2,SYNE1,TESPA1,THYN1,TMEM229B,TMEM25,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,YWHAG,ZDHHC5,ZFHX4,ZFP14,ZNF10,ZNF138,ZNF235,ZNF473,ZNF483,ZNF534,ZNF687,ZNF880
CA1,0.946915,0.95272297,0.9529895,0.954172,0.94648564,0.94406676,0.95504737,0.94718635,0.9424238,0.9481166,1.0000132,0.9512621,0.9541758,0.95083445,0.9488794,0.95402473,0.9443414,0.95335644,0.9520387,0.95235,0.9534658,0.9477721,0.9535582,0.9487395,0.95069516,0.9521285,0.95716774,0.9526681,0.95342374,0.9522838,0.94860893,0.94466835,0.9501376,0.9480938,0.96225107,0.947175,0.94828415,0.9599869,0.94889534,0.9479341,0.95422965,0.95129687,0.9535652,0.94782466,0.95236063,0.9481378,0.95272964,0.9463771,0.94699585,0.9509318,0.95169175,0.93822515,0.9510784,0.952694,0.95250475,0.9552821,0.95441025,0.95392996,0.9527137,0.9564544,0.9502999,0.96059066,0.95028603,0.9581529,0.9506948,0.9515604,0.95247114,0.9513014,0.95677495,0.9522785,0.95356363,0.95284534,0.9541362,0.95825154,0.9431519,0.9510775,0.9538932,0.95471513,0.94827175,0.94996315,0.9564154,0.9500014,0.95682055,0.9524507,0.94260883,0.9553937,0.9586148,0.95482033,0.9503452,0.95296025,0.95050603,0.95643413,0.9570771,0.95099753,0.95862675,0.95164573,0.9504778,0.95567137,0.9493245,0.9535568
CCNB1,0.95496887,0.9505603,0.9502152,0.9502017,0.9519539,0.9529225,0.9527211,0.94886124,0.9508364,0.9494411,0.9512621,0.9999932,0.95486355,0.9539126,0.95354146,0.9500021,0.95246243,0.9512705,0.950855,0.9528922,0.9539051,0.95122534,0.9501786,0.9518284,0.949862,0.9553272,0.95254457,0.9503191,0.9482087,0.9517633,0.94988394,0.9526265,0.9483372,0.9484727,0.94974,0.95033324,0.94807357,0.9461561,0.9520857,0.94749093,0.95118064,0.9517939,0.9486792,0.9487351,0.95007896,0.9496665,0.9514101,0.949416,0.94973147,0.9514813,0.9536628,0.95127475,0.9556695,0.95182794,0.950912,0.94916725,0.9519675,0.9498563,0.9563152,0.95174164,0.95030427,0.95043963,0.9521065,0.9529471,0.95343,0.9505268,0.94809794,0.9474256,0.9529295,0.95354617,0.95241505,0.9495747,0.9544285,0.94951826,0.9497595,0.95228827,0.9490411,0.95381343,0.95147324,0.9498859,0.95197207,0.949584,0.9534737,0.9509427,0.9503002,0.9506419,0.9496008,0.9543943,0.9511521,0.9510358,0.95167553,0.94932175,0.94965243,0.94979024,0.9514784,0.9549375,0.95104337,0.9468412,0.94889605,0.9545463
CCPG1,0.9512123,0.9480811,0.95264375,0.9478938,0.9492322,0.9528663,0.9568404,0.94699025,0.94912404,0.94801116,0.9541758,0.95486355,1.0000051,0.95447844,0.9517219,0.9516146,0.9502529,0.95430934,0.9522864,0.95368713,0.9509004,0.94916487,0.95146143,0.95555377,0.94969904,0.95228434,0.9577858,0.95009744,0.95035964,0.95113075,0.9504466,0.9485614,0.9484115,0.9483311,0.9547788,0.94767845,0.9495687,0.9549924,0.95269614,0.94994855,0.957733,0.9521426,0.95096517,0.9484793,0.95146155,0.9511301,0.9511255,0.94926506,0.9474069,0.9507381,0.95368165,0.9475807,0.95396304,0.9522375,0.95342416,0.9500719,0.95171565,0.9529567,0.9554852,0.9531337,0.94884807,0.9560691,0.95223653,0.9539542,0.9521364,0.95113957,0.9498779,0.94934875,0.9544302,0.95574546,0.9527955,0.9525591,0.95194155,0.95703787,0.9456104,0.9502725,0.95149034,0.9527064,0.9504608,0.9503207,0.9579682,0.947464,0.9543138,0.9542249,0.950978,0.95200866,0.9552021,0.9535112,0.95143336,0.9516808,0.9517075,0.9539716,0.9537494,0.95001906,0.9544216,0.95567524,0.95164263,0.95186055,0.94737756,0.95539486
CD8A,0.95315754,0.94730705,0.9521173,0.9544369,0.95578706,0.9593759,0.95680577,0.9507552,0.9530323,0.9508148,0.95083445,0.9539126,0.95447844,1.0000014,0.95849323,0.9516738,0.95707387,0.950323,0.9490518,0.9495525,0.9560687,0.9487071,0.9502529,0.95807827,0.94978905,0.95258075,0.95371157,0.9512817,0.95034087,0.95016706,0.95489657,0.95659804,0.9505078,0.9493969,0.95150423,0.94870025,0.95085716,0.95321965,0.95054656,0.9540197,0.9541851,0.949563,0.94971955,0.95022124,0.9516442,0.95288926,0.94911,0.95374244,0.94856215,0.9524195,0.95639527,0.9563329,0.9574037,0.95174056,0.94903165,0.9508828,0.9511159,0.9523032,0.95777583,0.9565871,0.95420283,0.9521415,0.9530394,0.956289,0.95335543,0.95128155,0.9527862,0.9519911,0.95431274,0.9521737,0.95307434,0.951604,0.95505214,0.9584656,0.9490558,0.9518014,0.9539351,0.9529181,0.95214605,0.950759,0.95776266,0.95603645,0.9509836,0.9499706,0.95656204,0.9520229,0.95593786,0.95998657,0.9506811,0.9486762,0.9511879,0.9513778,0.95291984,0.9500648,0.9504317,0.9564525,0.94992584,0.955672,0.9542311,0.95589244
CDHR5,0.95115733,0.9493659,0.94737977,0.9494693,0.95112956,0.95380354,0.9506827,0.9464356,0.95753515,0.9479725,0.9488794,0.95354146,0.9517219,0.95849323,0.99998546,0.94957966,0.9521102,0.95319474,0.9519933,0.95607215,0.95235616,0.9481473,0.9482809,0.95884186,0.94608253,0.9498105,0.9527347,0.9492152,0.9446439,0.9512392,0.950952,0.95173717,0.95050585,0.94637996,0.9506283,0.9459487,0.9550473,0.9504988,0.94988173,0.9539436,0.9508363,0.95356274,0.94801235,0.94789904,0.9482147,0.9486751,0.9494899,0.95345837,0.9473383,0.9465177,0.95582175,0.95800745,0.9522394,0.9541278,0.9505651,0.94787383,0.9494961,0.9552675,0.95568866,0.95206547,0.9541108,0.9528866,0.96025187,0.95379114,0.94998115,0.94934034,0.94642955,0.9474926,0.9507222,0.95286775,0.9521329,0.9468357,0.94891244,0.95371497,0.94743085,0.95014167,0.94866157,0.9551636,0.94951767,0.9480098,0.9571214,0.9483412,0.9510988,0.95330524,0.954599,0.954392,0.9516909,0.95654786,0.9479369,0.94984484,0.9529406,0.9530152,0.9501554,0.9497694,0.94997126,0.9523001,0.94645053,0.9511133,0.94859135,0.95478547
CDK10,0.9508924,0.95336115,0.95328945,0.9551721,0.9519794,0.9518986,0.95205903,0.9507774,0.9460508,0.951827,0.95402473,0.9500021,0.9516146,0.9516738,0.94957966,0.99999774,0.95427907,0.9519298,0.94855547,0.9519001,0.953043,0.9498249,0.9490992,0.94963264,0.9547138,0.9560724,0.95280635,0.95278555,0.9544517,0.95016736,0.95612013,0.95046586,0.9509653,0.9513929,0.9537662,0.95069236,0.9478742,0.9537149,0.9488851,0.94992495,0.9489355,0.94842815,0.9519917,0.9557548,0.94944954,0.953503,0.9479371,0.9474618,0.9518151,0.9557507,0.948998,0.9482079,0.9526187,0.9518711,0.94980437,0.9559213,0.950854,0.9502455,0.9522196,0.9519323,0.9515787,0.9538791,0.94794667,0.95292836,0.9509244,0.9494013,0.953897,0.9566604,0.95499253,0.94943774,0.94990516,0.9550231,0.95722574,0.9537368,0.94937336,0.9504754,0.95466477,0.95132375,0.9540702,0.95557785,0.9543391,0.9551062,0.9511704,0.94878894,0.9497753,0.95057225,0.95136577,0.95519036,0.952042,0.94904417,0.9498879,0.9537533,0.9496964,0.9530163,0.95338947,0.9496623,0.95138854,0.9521086,0.9509296,0.9511158
CLIC5,0.95820993,0.94834423,0.95053035,0.9526266,0.9625846,0.96291107,0.95199484,0.9494309,0.9505234,0.949754,0.9443414,0.95246243,0.9502529,0.95707387,0.9521102,0.95427907,1.0000057,0.9475245,0.9465001,0.95025545,0.9511219,0.95017886,0.94748086,0.9528425,0.9550718,0.95745987,0.9498911,0.95399934,0.94915855,0.94853103,0.9620022,0.9573879,0.9475623,0.9498124,0.9451735,0.9491724,0.9459936,0.9448354,0.9490328,0.95251095,0.94728667,0.9471757,0.9499161,0.9578504,0.9473707,0.95368445,0.9474913,0.9487215,0.9521047,0.9606667,0.95003825,0.95645434,0.9554194,0.94998765,0.9471595,0.95038646,0.9481678,0.9461392,0.95624983,0.9482233,0.9471977,0.9462788,0.94426656,0.9486323,0.95083106,0.9521533,0.9541359,0.9571283,0.9515086,0.9492344,0.9527577,0.95261776,0.9584739,0.9499026,0.9519882,0.95003885,0.9516026,0.9458465,0.9617104,0.9602175,0.9511988,0.9602965,0.9465425,0.94098306,0.9568488,0.94860685,0.9462154,0.95910525,0.9494847,0.9477342,0.9500509,0.94267625,0.94785947,0.95280844,0.947366,0.9530831,0.95278656,0.94708467,0.9504601,0.9492245
CYB5R1,0.9473028,0.9499908,0.94998145,0.9499371,0.9479685,0.953908,0.95284367,0.9500504,0.95287406,0.94952214,0.95335644,0.9512705,0.95430934,0.950323,0.95319474,0.9519298,0.9475245,0.9999938,0.95418227,0.95480037,0.9504682,0.95104223,0.95387554,0.95390046,0.94692737,0.94792277,0.95517945,0.94781214,0.9511632,0.95307755,0.9505799,0.94850236,0.9534085,0.9522373,0.9532922,0.9507866,0.95363647,0.95419943,0.9551963,0.9523904,0.9511288,0.9540944,0.952827,0.9499045,0.95211524,0.9515557,0.95201147,0.95280266,0.94963896,0.94829965,0.95354563,0.9542297,0.9541206,0.95300174,0.95318246,0.94886935,0.9510716,0.955994,0.9509264,0.9517195,0.952611,0.95633835,0.9530883,0.9532795,0.9514783,0.9504396,0.9484259,0.9492236,0.95178306,0.95527124,0.9500451,0.95119524,0.94871974,0.955356,0.9501543,0.9492195,0.94901806,0.9550484,0.9480311,0.94890624,0.95620185,0.9492779,0.9534407,0.9523384,0.95275474,0.9537026,0.9524567,0.9506842,0.9507085,0.9517859,0.95487255,0.95667523,0.95300066,0.9492,0.95431554,0.9543194,0.9481773,0.951467,0.9500989,0.9554718
CYP20A1,0.948515,0.9494998,0.95000273,0.9483872,0.947653,0.94758856,0.949508,0.9478598,0.94957393,0.9492591,0.9520387,0.950855,0.9522864,0.9490518,0.9519933,0.94855547,0.9465001,0.95418227,1.0000131,0.95185107,0.95006704,0.95010585,0.9529083,0.95079297,0.9482069,0.94812137,0.9495905,0.94843435,0.9495889,0.9553302,0.94804144,0.94791836,0.949589,0.9492131,0.9510095,0.9493168,0.9512101,0.9503468,0.95114064,0.95076245,0.9503703,0.95593053,0.9527591,0.9478562,0.95289767,0.9485804,0.95445186,0.95061904,0.9479852,0.9481498,0.95132303,0.94931906,0.9491067,0.9501548,0.9541083,0.9493748,0.9518686,0.9525807,0.9498497,0.9485927,0.9498846,0.95210296,0.95182365,0.9523884,0.94966054,0.95247597,0.9473862,0.9478786,0.9510711,0.9523366,0.9500532,0.94832623,0.94739,0.9503434,0.9487179,0.9500122,0.94975877,0.952988,0.94827,0.9475452,0.94935787,0.94708484,0.9540093,0.9526487,0.94804853,0.95193833,0.95220566,0.9486991,0.9494743,0.9542996,0.9537029,0.9518671,0.9526832,0.949494,0.95159096,0.95138675,0.9500763,0.95015097,0.9483786,0.9510894
DMRT1,0.95264065,0.9486451,0.9472886,0.9476878,0.94942355,0.95154786,0.9529698,0.9399912,0.9474255,0.9423743,0.95235,0.9528922,0.95368713,0.9495525,0.95607215,0.9519001,0.95025545,0.95480037,0.95185107,1.0000012,0.9494047,0.9482537,0.947087,0.95581,0.9496254,0.9527075,0.9521795,0.94890404,0.9475459,0.951868,0.951607,0.94714737,0.94597256,0.94248194,0.9551838,0.9428172,0.9465351,0.9540576,0.9497683,0.95196056,0.95311546,0.95323294,0.9507828,0.94880265,0.9485258,0.9469208,0.9482242,0.9469787,0.94480485,0.9516015,0.9526887,0.9519936,0.95068604,0.9489413,0.9511565,0.9490138,0.94839174,0.95290285,0.9587281,0.9450665,0.9465986,0.9544113,0.95636964,0.9528897,0.9465733,0.9508127,0.9473131,0.94894224,0.9534525,0.9524814,0.9568514,0.9512311,0.9492488,0.95506734,0.9421125,0.9451214,0.9477737,0.95356387,0.95232946,0.95156235,0.95662963,0.9463664,0.9516084,0.9519717,0.9467675,0.9539883,0.9500947,0.9535086,0.95003545,0.9502708,0.9490883,0.95201045,0.949931,0.95063454,0.9548554,0.9513848,0.9482495,0.9462191,0.9439778,0.9543304
