,AK3,ATF7IP2,ATP10D,ATXN7L3,BBS10,BEND3,BHLHE40,BNIP3L,BTLA,C11orf1,C12orf76,CA1,CCNB1,CCPG1,CD8A,CDHR5,CDK10,CLIC5,CYB5R1,CYP20A1,DMRT1,DPF3,DST,DTX1,EHF,EHMT1,ELOF1,FAHD1,FAM208A,FAM229B,FSD1,GLI3,HDHD3,HIST1H4I,HSPA4,HSPH1,IL17F,KCNIP2,KDELR2,KDM6A,KLF13,KLHL17,KLRG1,KRTCAP2,LRP6,LRRC37A3,LRTOMT,LY96,LYST,LZTS1,MAP3K9,MAP7D1,MAP7D3,MAPK8,MBOAT2,MGA,MOSMO,NNAT,ORM2,P3H3,PEX10,PIP,POU2F3,RAB30,RAMP1,RASD2,RCBTB1,RETN,RFX5,RNH1,RPL26L1,RPS6KA1,RYK,S100P,SAMHD1,SH2D2A,SH3KBP1,SIKE1,SIT1,SLC25A33,SLC25A4,SOX15,SPATA2,SUMF1,SYNE1,TCEAL1,TESPA1,THYN1,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,TWIST1,ZDHHC5,ZFP14,ZGLP1,ZNF138,ZNF687,ZNF880
C12orf76,0.95227784,0.94583005,0.9493214,0.95281017,0.96276706,0.95057476,0.9546958,0.95103395,0.9490306,0.9548497,0.9999971,0.9514183,0.9528784,0.952947,0.9556969,0.95367604,0.953477,0.9536541,0.95297796,0.94868785,0.9509737,0.9530511,0.9492956,0.95001024,0.9492468,0.9508423,0.95095557,0.9493776,0.9520196,0.95245653,0.9493021,0.94931704,0.95144856,0.9482774,0.9472566,0.9539828,0.9525771,0.9537064,0.94746244,0.95190525,0.9515754,0.9488705,0.95034933,0.9548058,0.9518266,0.94903386,0.9480671,0.95006275,0.9508673,0.95059526,0.9466921,0.9525078,0.95705855,0.9480678,0.95211124,0.9546566,0.9576578,0.9471169,0.9499278,0.9529592,0.95129156,0.95674276,0.95264846,0.950343,0.94947153,0.95002747,0.95202935,0.95115614,0.95116436,0.9505749,0.947604,0.9488114,0.9507001,0.955657,0.9509599,0.9541056,0.9499445,0.9550424,0.94967014,0.9497923,0.95107,0.9507925,0.9500133,0.95434296,0.9505088,0.9559939,0.95536894,0.96050656,0.9483991,0.95539546,0.9481542,0.9503191,0.95641387,0.95028603,0.9480762,0.9556124,0.9485561,0.95211226,0.95016766,0.95371395
CA1,0.9491069,0.9521502,0.9514562,0.95093215,0.9548774,0.9525279,0.9479672,0.95045924,0.9513814,0.953792,0.9514183,0.99999934,0.95185554,0.9544296,0.9535105,0.9500936,0.95190424,0.9489305,0.9515779,0.9516624,0.94828737,0.9546374,0.9478772,0.9497464,0.954495,0.9475925,0.95162255,0.9541303,0.95212394,0.95099145,0.95070195,0.9538699,0.9562891,0.95164996,0.9554617,0.9476967,0.9527784,0.95000285,0.95451254,0.9485796,0.951783,0.9541617,0.95200413,0.94916385,0.9511087,0.9493846,0.95113283,0.9473722,0.9525342,0.9499525,0.95162237,0.9492205,0.9499435,0.952359,0.9491521,0.95135885,0.95417726,0.9505678,0.9557634,0.9476807,0.9512668,0.957366,0.9523591,0.9533471,0.94932795,0.952891,0.9511803,0.945506,0.9495255,0.9562342,0.949841,0.9491787,0.951306,0.95590293,0.9530823,0.9551861,0.9527838,0.94834715,0.9539857,0.95214283,0.95339197,0.95478153,0.95253414,0.95257896,0.9496025,0.9491932,0.9547162,0.95230955,0.95018965,0.94579154,0.95177186,0.9526851,0.9564899,0.9507798,0.9525427,0.955213,0.95350516,0.94919175,0.9487348,0.9554646
CCNB1,0.95699954,0.95089775,0.9490004,0.94902855,0.95409656,0.9473992,0.9521407,0.95067805,0.9486078,0.95657116,0.9528784,0.95185554,0.9999905,0.9543984,0.9516442,0.9559219,0.95206505,0.9502711,0.9474364,0.9501222,0.95489025,0.95562243,0.94877106,0.9481263,0.94514066,0.9526631,0.9499723,0.9549852,0.960443,0.95293844,0.9475585,0.95111364,0.9542992,0.9477545,0.9505612,0.948404,0.9490815,0.9458972,0.95110947,0.94696873,0.9465906,0.94811505,0.94614184,0.947244,0.94874656,0.9499409,0.94645184,0.9478316,0.9508635,0.95515436,0.95110726,0.9473359,0.95598125,0.94829726,0.94713974,0.9514024,0.95475715,0.94983137,0.9513724,0.9489365,0.95519215,0.95463085,0.9509188,0.94896585,0.95213866,0.9520548,0.950228,0.9478448,0.9483355,0.955733,0.9475012,0.944512,0.9525846,0.9558712,0.9528126,0.95824504,0.94799435,0.94737446,0.9508307,0.94945586,0.9473663,0.9496446,0.95136887,0.95605874,0.95150197,0.9529308,0.95366704,0.9524573,0.9491145,0.9456865,0.9509143,0.9511881,0.95600516,0.9519267,0.9479112,0.9542903,0.94897586,0.9517614,0.9450729,0.9577905
CCPG1,0.9512343,0.94849056,0.95118856,0.95165694,0.9556144,0.94926393,0.9502402,0.9504629,0.94775957,0.9537767,0.952947,0.9544296,0.9543984,1.0000018,0.95686245,0.9522966,0.953017,0.9470763,0.95366395,0.9524017,0.9555607,0.95525897,0.9486217,0.94719946,0.95281935,0.9526452,0.95103216,0.9535631,0.95375675,0.9532629,0.9474933,0.95174134,0.9552834,0.9517924,0.95332706,0.94682026,0.9527899,0.94883394,0.9530839,0.94555444,0.94973034,0.95320916,0.95468676,0.9521258,0.9540633,0.94995844,0.9508447,0.94667214,0.9513888,0.9501251,0.9525897,0.950149,0.9575171,0.94956076,0.94955224,0.9559023,0.9546587,0.94831365,0.95306426,0.952564,0.95514303,0.9560522,0.9519007,0.95147556,0.9528483,0.9543887,0.9504454,0.94763887,0.9522842,0.95669585,0.9469007,0.94885325,0.9514572,0.95797706,0.95735323,0.9549682,0.9518111,0.9468711,0.95252514,0.9489522,0.9473467,0.95220804,0.95401037,0.95474166,0.95059586,0.9535951,0.95235485,0.95690966,0.95320284,0.9487436,0.95079786,0.95264274,0.95552796,0.95096934,0.950431,0.95601285,0.95151025,0.94927603,0.94493747,0.9594616
CD8A,0.95043874,0.9472818,0.94975495,0.95534456,0.9588173,0.95319307,0.9531137,0.951544,0.94787735,0.9519881,0.9556969,0.9535105,0.9516442,0.95686245,1.0000112,0.9542382,0.95303833,0.94876,0.95153534,0.94800705,0.947518,0.9527072,0.94446903,0.94731295,0.95116574,0.95247924,0.9510356,0.95068383,0.9535117,0.9581931,0.9470193,0.9492335,0.95690626,0.9480224,0.95092595,0.9509885,0.95204955,0.94904506,0.9519662,0.94753665,0.9539318,0.9501795,0.9565586,0.95182717,0.9585466,0.94862264,0.94839025,0.945116,0.9507092,0.9498356,0.94818676,0.9507855,0.9574707,0.9498592,0.9533765,0.9626075,0.9556424,0.94864863,0.9525695,0.9525703,0.95133007,0.9626726,0.95438987,0.95191014,0.9527958,0.95427054,0.9489727,0.9496367,0.9534719,0.95964116,0.94678485,0.9480944,0.9491529,0.95812625,0.95513123,0.9556768,0.9559468,0.94954294,0.95184773,0.9521233,0.9520052,0.95003814,0.953843,0.9539496,0.9462407,0.95242894,0.9526798,0.96056426,0.95396465,0.95104873,0.95021015,0.9558545,0.9596534,0.9499615,0.95006615,0.9541819,0.95393825,0.9504547,0.94754,0.9550152
CDHR5,0.9511465,0.9499619,0.9484193,0.9528258,0.9513534,0.9511621,0.9544232,0.94937545,0.9496806,0.9526715,0.95367604,0.9500936,0.9559219,0.9522966,0.9542382,0.9999958,0.9522386,0.950772,0.94898975,0.950043,0.9522433,0.95153487,0.9480217,0.9479171,0.94767505,0.95472276,0.94795704,0.94855773,0.95605546,0.9490861,0.9475115,0.9495199,0.9511062,0.9478079,0.949207,0.9507677,0.9522344,0.95087004,0.9495644,0.94799626,0.949792,0.94651735,0.9491967,0.95074874,0.9458624,0.9506813,0.9470324,0.94887257,0.94988036,0.9558091,0.9491453,0.94927996,0.95633435,0.9494493,0.9515366,0.95276254,0.95310575,0.95073223,0.9491105,0.95358014,0.9536995,0.9561453,0.9545557,0.9493253,0.95456344,0.95290667,0.9487907,0.95477587,0.9470244,0.9541022,0.9473467,0.94395274,0.9516422,0.952441,0.95084363,0.9516237,0.94933736,0.9516362,0.9513264,0.94875085,0.9474155,0.94993746,0.9522825,0.9529843,0.9511288,0.9525597,0.9493739,0.9556258,0.9486542,0.95133716,0.9519118,0.9527714,0.95799774,0.950915,0.9461496,0.9553687,0.9490361,0.9518583,0.94765705,0.95372283
CDK10,0.94882846,0.95142704,0.95269674,0.9527925,0.954697,0.952741,0.94961184,0.9526794,0.95181036,0.9556139,0.953477,0.95190424,0.95206505,0.953017,0.95303833,0.9522386,1.0000052,0.9517633,0.95117503,0.94937825,0.9543179,0.95492876,0.949976,0.9534197,0.94992787,0.9503341,0.9512693,0.9541562,0.95200217,0.9520481,0.9533144,0.9495227,0.9507946,0.94975364,0.9510817,0.95139086,0.9533179,0.95348364,0.9560772,0.94956666,0.95083034,0.95139164,0.95382017,0.9506361,0.94916683,0.9475063,0.95055807,0.9515263,0.9500103,0.94769865,0.9487103,0.9523623,0.9489453,0.9498221,0.95101243,0.95154035,0.9550795,0.95119745,0.9522551,0.9523317,0.95316803,0.9557711,0.951641,0.95419365,0.9492291,0.95083296,0.95166457,0.94863397,0.9481751,0.953657,0.95171225,0.95192415,0.9526477,0.95546997,0.9506516,0.95446914,0.9543304,0.9503287,0.9516705,0.9524538,0.95201355,0.952216,0.9507802,0.95293343,0.95300937,0.9536811,0.953965,0.955517,0.94877416,0.9512216,0.9486927,0.9516123,0.955765,0.95157784,0.94811755,0.95622194,0.9499323,0.95072925,0.95226914,0.9552732
CLIC5,0.955781,0.9471788,0.9496426,0.9527781,0.95604134,0.95354754,0.95548195,0.95261765,0.95356727,0.95029813,0.9536541,0.9489305,0.9502711,0.9470763,0.94876,0.950772,0.9517633,1.0000012,0.94689983,0.94426143,0.94637907,0.9489911,0.95194715,0.9538484,0.9455568,0.94846284,0.9508305,0.94659305,0.95006,0.95001173,0.95452803,0.94721293,0.9460498,0.94834423,0.944755,0.9600304,0.94803417,0.95660543,0.94353867,0.954918,0.952444,0.9468812,0.94268054,0.9507395,0.9458594,0.9452497,0.9480189,0.95334625,0.9503817,0.94743425,0.94248337,0.957036,0.94918513,0.9484421,0.9513845,0.94480187,0.9573455,0.9493767,0.94794184,0.9467174,0.9504575,0.9531664,0.94739795,0.947896,0.94091946,0.9445854,0.9522043,0.9550524,0.94891775,0.938082,0.9519603,0.9545319,0.9523315,0.9462771,0.94602257,0.9526046,0.94876575,0.95470256,0.9492871,0.95203596,0.9528537,0.9460245,0.93908906,0.94873035,0.95266306,0.9553474,0.95244336,0.9532751,0.94494903,0.962343,0.9430774,0.94402665,0.95310223,0.95376354,0.9492585,0.94548845,0.9436688,0.9508469,0.9578484,0.94593453
CYB5R1,0.94452137,0.94879675,0.9487938,0.95228875,0.95226693,0.94976705,0.95464706,0.9495215,0.9502847,0.9478343,0.95297796,0.9515779,0.9474364,0.95366395,0.95153534,0.94898975,0.95117503,0.94689983,0.99999577,0.9508243,0.9552684,0.9511577,0.94947475,0.9473825,0.9534486,0.95290715,0.9479599,0.94944745,0.94752413,0.95216423,0.9471699,0.95220697,0.94818336,0.94979495,0.95254034,0.94814473,0.95639396,0.9524685,0.952468,0.94701624,0.9517275,0.9523303,0.9555567,0.95886755,0.95115393,0.9517097,0.95181835,0.9495986,0.95059925,0.94846696,0.95074475,0.9511251,0.9558387,0.95247465,0.95349777,0.9535308,0.95359415,0.94649965,0.95169985,0.957436,0.9504104,0.9517828,0.95470095,0.95090646,0.95500946,0.9553253,0.95009315,0.95498323,0.9499342,0.95429885,0.94789654,0.947368,0.94927657,0.95173347,0.95610166,0.94735956,0.9526577,0.9515677,0.95141727,0.9479656,0.9465915,0.9504334,0.9569569,0.9538966,0.9500549,0.9502988,0.94773126,0.9527162,0.9502418,0.95213664,0.95288855,0.9525368,0.95025074,0.9505804,0.95044065,0.9544939,0.9494137,0.94881433,0.9487925,0.9564003
CYP20A1,0.9488891,0.9477344,0.94789624,0.94787645,0.948042,0.94530904,0.94832927,0.94847435,0.94682914,0.94831914,0.94868785,0.9516624,0.9501222,0.9524017,0.94800705,0.950043,0.94937825,0.94426143,0.9508243,0.9999906,0.95250607,0.95072407,0.94750655,0.9466829,0.95217127,0.95020276,0.9473345,0.9502727,0.94846076,0.9485933,0.9459695,0.9531327,0.95048594,0.9546007,0.9536935,0.9460308,0.951004,0.94560045,0.9504499,0.94640183,0.9478983,0.9508838,0.95059556,0.949668,0.95015836,0.95503044,0.9493361,0.9463798,0.9501072,0.94879895,0.9540267,0.94500166,0.9509933,0.9505452,0.9482998,0.95068526,0.9477432,0.9476397,0.9518882,0.95050275,0.9511406,0.94801986,0.949718,0.95059955,0.95301795,0.9506898,0.9491496,0.94709384,0.95105827,0.9522862,0.94604826,0.94720787,0.949976,0.9503277,0.95118564,0.94800985,0.94983447,0.94630206,0.9522889,0.9461093,0.9462068,0.9510124,0.95267934,0.94861877,0.9484842,0.94818926,0.94757736,0.94975674,0.9516123,0.94475377,0.95055735,0.9492184,0.94853103,0.9492755,0.95428574,0.95122015,0.9520338,0.9479854,0.9459274,0.9511629
