Layer,Pseudotime_Corr,Neighborhood_Overlap,Global_Geom_Corr
X_layer_0,0.10872013266463727,0.04320645905420992,0.1570861179098352
X_layer_1,0.12584451584652315,0.04577277970011534,0.2691172631009846
X_layer_10,0.2730446226327569,0.05444636678200691,0.3351093929245463
X_layer_11,0.2698440687571771,0.05464821222606689,0.3278571000094955
X_layer_12,0.2695796179008147,0.05459054209919261,0.2950645546450715
X_layer_13,0.2857857078974002,0.05489042675893887,0.29674804620416584
X_layer_14,0.2632323772634903,0.05498846597462513,0.30493333346728857
X_layer_15,0.2761485694654856,0.05512110726643599,0.30146420066503826
X_layer_16,0.2671242759097845,0.056032295271049595,0.30648153658403926
X_layer_17,0.2520979317210596,0.05629757785467128,0.3274110741280166
X_layer_18,0.29126372870299055,0.0560957324106113,0.2532563250924874
X_layer_19,0.31959267398242963,0.05649942329873125,0.29944383970250016
X_layer_2,0.13038610254622757,0.04881199538638985,0.2910048745071156
X_layer_20,0.32712153248887615,0.056655132641291794,0.31286208711300956
X_layer_21,0.38328078101254076,0.056378316032295275,0.2947824313894469
X_layer_22,0.3513272187006762,0.056874279123414063,0.3009788316536003
X_layer_23,0.370542255046717,0.05646482122260669,0.3370428936740718
X_layer_3,0.1794872332965321,0.05052479815455593,0.27868687130367126
X_layer_4,0.22951967377079702,0.051435986159169556,0.283872357324959
X_layer_5,0.23172449226065955,0.051470588235294115,0.3023509209200882
X_layer_6,0.29112494610812367,0.05141291810841983,0.3155185851478883
X_layer_7,0.29497210397199436,0.05275086505190311,0.30611964872952035
X_layer_8,0.3097732763205574,0.05364475201845444,0.3001078216531362
X_layer_9,0.2508891939969435,0.053875432525951554,0.3027766374128654
